# Election-by-election seat counts behind the exp/lo/hi values in data.csv.
# One row per statewide election: how the districts break down under the old
# plan and under the new one, holding the votes fixed. exp is the mean of
# (rep_new - rep_old) across a state's rows; lo and hi are its min and max.
# Texas and Florida come from jcervas/democracys-data,
# labs/.../mid-decade/data/derived/seats_by_election.csv. The rest are counted
# from the district-level two-party shares in data/, which come from
# compare-plans-dra/_DRA_elections.R in jcervas/createMaps. Both routes
# reproduce the exp/lo/hi in data.csv; see data/README.md.
# Runoffs are separate elections here, as they are in the source data.
abbr,code,label,year,dem_old,rep_old,dem_new,rep_new
TX,pres-2016,President,2016,14,24,11,27
TX,sc-2016,Supreme Court,2016,14,24,11,27
TX,ag-2018,Attorney General,2018,14,24,12,26
TX,compt-2018,Comptroller,2018,14,24,11,27
TX,gov-2018,Governor,2018,14,24,9,29
TX,ltgov-2018,Lieutenant Governor,2018,14,24,11,27
TX,sc-2018,Supreme Court,2018,12,26,9,29
TX,senator-2018,U.S. Senate,2018,14,24,12,26
TX,pres-2020,President,2020,13,25,10,28
TX,sc-2020,Supreme Court,2020,13,25,10,28
TX,senator-2020,U.S. Senate,2020,13,25,10,28
TX,ag-2022,Attorney General,2022,13,25,10,28
TX,gov-2022,Governor,2022,13,25,9,29
TX,ltgov-2022,Lieutenant Governor,2022,13,25,9,29
TX,trea-2022,Treasurer,2022,13,25,9,29
TX,pres-2024,President,2024,11,27,8,30
TX,senator-2024,U.S. Senate,2024,13,25,8,30
FL,president-2016,President,2016,11,17,9,19
FL,senator-2016,U.S. Senate,2016,8,20,6,22
FL,ag-2018,Attorney General,2018,10,18,9,19
FL,gov-2018,Governor,2018,10,18,9,19
FL,senator-2018,U.S. Senate,2018,10,18,9,19
FL,trea-2018,Treasurer,2018,10,18,9,19
FL,president-2020,President,2020,8,20,6,22
FL,ag-2022,Attorney General,2022,6,22,4,24
FL,gov-2022,Governor,2022,6,22,4,24
FL,senator-2022,U.S. Senate,2022,8,20,4,24
FL,trea-2022,Treasurer,2022,7,21,4,24
FL,president-2024,President,2024,8,20,4,24
FL,senator-2024,U.S. Senate,2024,8,20,4,24
CA,president-2016,President,2016,44,8,47,5
CA,ag-2018,Attorney General,2018,44,8,48,4
CA,gov-2018,Governor,2018,44,8,47,5
CA,president-2020,President,2020,45,7,48,4
CA,ag-2022,Attorney General,2022,38,14,46,6
CA,gov-2022,Governor,2022,38,14,46,6
CA,ltgov-2022,Lieutenant Governor,2022,39,13,47,5
CA,sos-2022,Secretary of State,2022,39,13,48,4
CA,treas-2022,Treasurer,2022,37,15,46,6
CA,senator-2022,U.S. Senate,2022,42,10,48,4
CA,president-2024,President,2024,41,11,47,5
CA,senator-2024,U.S. Senate,2024,39,13,47,5
LA,president-2016,President,2016,2,4,1,5
LA,sen-roff-2016,U.S. Senate (runoff),2016,2,4,1,5
LA,ag-2019,Attorney General,2019,2,4,1,5
LA,gov-2019,Governor,2019,2,4,1,5
LA,gov-roff-2019,Governor (runoff),2019,2,4,1,5
LA,lt-gov-2019,Lieutenant Governor,2019,1,5,1,5
LA,president-2020,President,2020,2,4,1,5
LA,senator-2020,U.S. Senate,2020,2,4,1,5
LA,senator-2022,U.S. Senate,2022,2,4,1,5
LA,ag-2023,Attorney General,2023,1,5,1,5
LA,ag-roff-2023,Attorney General (runoff),2023,2,4,1,5
LA,gov-2023,Governor,2023,1,5,1,5
LA,lt-gov-2023,Lieutenant Governor,2023,0,6,0,6
LA,sos-2023,Secretary of State,2023,1,5,1,5
LA,treasurer-2023,Treasurer,2023,2,4,1,5
LA,president-2024,President,2024,2,4,1,5
MO,ag-2016,Attorney General,2016,2,6,1,7
MO,gov-2016,Governor,2016,2,6,2,6
MO,lt-gov-2016,Lieutenant Governor,2016,2,6,1,7
MO,president-2016,President,2016,2,6,1,7
MO,senator-2016,U.S. Senate,2016,2,6,2,6
MO,senator-2018,U.S. Senate,2018,2,6,1,7
MO,ag-2020,Attorney General,2020,2,6,1,7
MO,gov-2020,Governor,2020,2,6,1,7
MO,lt-gov-2020,Lieutenant Governor,2020,2,6,1,7
MO,president-2020,President,2020,2,6,1,7
MO,sos-2020,Secretary of State,2020,2,6,1,7
MO,trea-2020,Treasurer,2020,2,6,1,7
MO,ag-2024,Attorney General,2024,2,6,1,7
MO,gov-2024,Governor,2024,2,6,1,7
MO,lt-gov-2024,Lieutenant Governor,2024,2,6,1,7
MO,president-2024,President,2024,2,6,1,7
MO,sos-2024,Secretary of State,2024,2,6,1,7
MO,trea-2024,Treasurer,2024,2,6,1,7
MO,senator-2024,U.S. Senate,2024,2,6,1,7
NC,ag-2016,Attorney General,2016,4,10,3,11
NC,aud-2016,Auditor,2016,4,10,5,9
NC,gov-2016,Governor,2016,4,10,3,11
NC,lt-gov-2016,Lieutenant Governor,2016,4,10,3,11
NC,president-2016,President,2016,4,10,3,11
NC,sos-2016,Secretary of State,2016,4,10,5,9
NC,trea-2016,Treasurer,2016,4,10,3,11
NC,senator-2016,U.S. Senate,2016,4,10,3,11
NC,ag-2020,Attorney General,2020,4,10,3,11
NC,aud-2020,Auditor,2020,4,10,4,10
NC,gov-2020,Governor,2020,4,10,3,11
NC,lt-gov-2020,Lieutenant Governor,2020,4,10,3,11
NC,president-2020,President,2020,4,10,3,11
NC,sos-2020,Secretary of State,2020,4,10,3,11
NC,trea-2020,Treasurer,2020,4,10,3,11
NC,senator-2020,U.S. Senate,2020,4,10,3,11
NC,sc-3-2022,Supreme Court (Seat 3),2022,3,11,3,11
NC,sc-5-2022,Supreme Court (Seat 5),2022,3,11,3,11
NC,senator-2022,U.S. Senate,2022,3,11,3,11
NC,ag-2024,Attorney General,2024,4,10,3,11
NC,aud-2024,Auditor,2024,3,11,3,11
NC,gov-2024,Governor,2024,12,2,13,1
NC,lt-gov-2024,Lieutenant Governor,2024,4,10,3,11
NC,president-2024,President,2024,3,11,3,11
NC,sos-2024,Secretary of State,2024,4,10,3,11
NC,sc-6-2024,Supreme Court (Seat 6),2024,4,10,3,11
NC,trea-2024,Treasurer,2024,3,11,3,11
OH,president-2016,President,2016,4,11,3,12
OH,senator-2016,U.S. Senate,2016,2,13,2,13
OH,ag-2018,Attorney General,2018,5,10,3,12
OH,gov-2018,Governor,2018,5,10,3,12
OH,senator-2018,U.S. Senate,2018,9,6,10,5
OH,president-2020,President,2020,4,11,4,11
OH,ag-2022,Attorney General,2022,2,13,2,13
OH,aud-2022,Auditor,2022,2,13,2,13
OH,gov-2022,Governor,2022,2,13,2,13
OH,sos-2022,Secretary of State,2022,2,13,2,13
OH,sc-c-2022,Supreme Court (Chief Justice),2022,4,11,3,12
OH,sc-1-2022,Supreme Court (Seat 1),2022,3,12,3,12
OH,sc-2-2022,Supreme Court (Seat 2),2022,3,12,3,12
OH,trea-2022,Treasurer,2022,2,13,2,13
OH,senator-2022,U.S. Senate,2022,5,10,3,12
OH,president-2024,President,2024,4,11,3,12
OH,sc-1-2024,Supreme Court (Seat 1),2024,4,11,3,12
OH,sc-2-2024,Supreme Court (Seat 2),2024,4,11,3,12
