# Election-by-election seat counts behind the exp/lo/hi values in data.csv.
# One row per statewide election: how the districts break down under the old
# plan and under the new one, holding the votes fixed. exp is the mean of
# (rep_new - rep_old) across a state's rows; lo and hi are its min and max.
# Texas and Florida come from jcervas/democracys-data,
# labs/.../mid-decade/data/derived/seats_by_election.csv. The rest are counted
# from the district-level two-party shares in data/, which come from
# compare-plans-dra/_DRA_elections.R in jcervas/createMaps. Both routes
# reproduce the exp/lo/hi in data.csv; see data/README.md.
# Runoffs are separate elections here, as they are in the source data.
abbr,code,label,year,dem_old,rep_old,dem_new,rep_new
OH,sc-3-2024,Supreme Court (Seat 3),2024,4,11,3,12
OH,senator-2024,U.S. Senate,2024,6,9,4,11
TN,president-2016,President,2016,1,8,0,9
TN,gov-2018,Governor,2018,1,8,0,9
TN,senator-2018,U.S. Senate,2018,1,8,0,9
TN,president-2020,President,2020,1,8,0,9
TN,senator-2020,U.S. Senate,2020,1,8,0,9
TN,gov-2022,Governor,2022,1,8,0,9
TN,president-2024,President,2024,1,8,0,9
TN,senator-2024,U.S. Senate,2024,1,8,0,9
UT,ag-2016,Attorney General,2016,0,4,0,4
UT,aud-2016,Auditor,2016,0,4,1,3
UT,gov-2016,Governor,2016,0,4,1,3
UT,president-2016,President,2016,0,4,1,3
UT,trea-2016,Treasurer,2016,0,4,1,3
UT,senator-2016,U.S. Senate,2016,0,4,1,3
UT,senator-2018,U.S. Senate,2018,0,4,1,3
UT,ag-2020,Attorney General,2020,0,4,1,3
UT,gov-2020,Governor,2020,0,4,1,3
UT,president-2020,President,2020,0,4,1,3
UT,ag-2024,Attorney General,2024,0,4,1,3
UT,aud-2024,Auditor,2024,0,4,1,3
UT,gov-2024,Governor,2024,0,4,1,3
UT,president-2024,President,2024,0,4,1,3
UT,trea-2024,Treasurer,2024,0,4,1,3
UT,senator-2024,U.S. Senate,2024,0,4,1,3
VA,president-2016,President,2016,6,5,10,1
VA,ag-2017,Attorney General,2017,6,5,10,1
VA,gov-2017,Governor,2017,7,4,10,1
VA,lt-gov-2017,Lieutenant Governor,2017,6,5,10,1
VA,senator-2018,U.S. Senate,2018,7,4,10,1
VA,president-2020,President,2020,7,4,10,1
VA,senator-2020,U.S. Senate,2020,7,4,10,1
VA,ag-2021,Attorney General,2021,5,6,7,4
VA,gov-2021,Governor,2021,5,6,7,4
VA,lt-gov-2021,Lieutenant Governor,2021,5,6,7,4
VA,president-2024,President,2024,6,5,10,1
VA,senator-2024,U.S. Senate,2024,7,4,10,1
