STRAIGHT_DEM,STRAIGHT_GOP,STRAIGHT_ALL,SPLIT_BIDEN,SPLIT_TRUMP,SPLIT_ALL,TOTAL_BIDEN,TOTAL_TRUMP,TOTAL_ALL,GOP_Straight,DEM_Straight,GOP_Split,DEM_Split,prop_split,trump,biden
252,987,1254,372,516,936,624,1503,2190,0.78708134,0.200956938,0.551282051,0.397435897,0.42739726,0.68630137,0.284931507
327,1100,1440,479,521,1026,806,1621,2466,0.763888889,0.227083333,0.507797271,0.466861598,0.416058394,0.657339822,0.326845093
495,538,1056,248,234,500,743,772,1556,0.509469697,0.46875,0.468,0.496,0.321336761,0.496143959,0.477506427
169,1003,1176,265,460,754,434,1463,1930,0.852891156,0.143707483,0.610079576,0.351458886,0.390673575,0.758031088,0.224870466
232,1076,1318,347,539,919,579,1615,2237,0.816388467,0.176024279,0.586507073,0.377584331,0.41081806,0.721949039,0.258828789
183,534,725,288,295,604,471,829,1329,0.736551724,0.252413793,0.488410596,0.476821192,0.45447705,0.623777276,0.354401806
358,840,1208,388,471,887,746,1311,2095,0.695364238,0.296357616,0.531003382,0.437429538,0.423389021,0.625775656,0.356085919
420,774,1206,411,350,777,831,1124,1983,0.641791045,0.348258706,0.45045045,0.528957529,0.39183056,0.566817953,0.419062027
179,353,538,245,191,451,424,544,989,0.656133829,0.332713755,0.423503326,0.543237251,0.456016178,0.550050556,0.428715875
287,785,1084,337,347,705,624,1132,1789,0.724169742,0.264760148,0.492198582,0.478014184,0.394074902,0.632755729,0.348798211
228,760,1005,348,446,814,576,1206,1819,0.756218905,0.226865672,0.547911548,0.427518428,0.447498626,0.663001649,0.316657504
149,534,689,222,295,526,371,829,1215,0.775036284,0.216255443,0.560836502,0.422053232,0.432921811,0.682304527,0.305349794
328,875,1212,433,503,963,761,1378,2175,0.721947195,0.270627063,0.522326064,0.449636552,0.442758621,0.633563218,0.349885057
294,627,930,375,369,759,669,996,1689,0.674193548,0.316129032,0.486166008,0.494071146,0.44937833,0.589698046,0.396092362
291,703,1005,451,403,884,742,1106,1889,0.699502488,0.289552239,0.455882353,0.510180995,0.467972472,0.585494971,0.392800424
272,654,933,338,398,758,610,1052,1691,0.70096463,0.29153269,0.525065963,0.44591029,0.44825547,0.62211709,0.360733294
244,507,757,335,282,639,579,789,1396,0.669749009,0.322324967,0.441314554,0.524256651,0.45773639,0.565186246,0.414756447
370,713,1095,533,440,995,903,1153,2090,0.651141553,0.337899543,0.442211055,0.535678392,0.476076555,0.551674641,0.432057416
201,502,713,301,324,639,502,826,1352,0.704067321,0.281907433,0.507042254,0.471048513,0.472633136,0.610946746,0.371301775
242,565,814,401,396,824,643,961,1638,0.694103194,0.297297297,0.480582524,0.486650485,0.503052503,0.586691087,0.392551893
226,444,671,365,226,605,591,670,1276,0.661698957,0.33681073,0.373553719,0.603305785,0.474137931,0.52507837,0.463166144
292,476,771,426,289,730,718,765,1501,0.617380026,0.378728923,0.395890411,0.583561644,0.486342438,0.509660227,0.478347768
205,347,556,269,196,479,474,543,1035,0.624100719,0.368705036,0.409185804,0.561586639,0.462801932,0.524637681,0.457971014
295,453,757,490,262,772,785,715,1529,0.598414795,0.389696169,0.339378238,0.634715026,0.504905167,0.467625899,0.513407456
358,708,1072,552,412,993,910,1120,2065,0.660447761,0.333955224,0.41490433,0.555891239,0.480871671,0.542372881,0.440677966
