"District","logo"
"WA-06",0
"MT-01",1
"CA-22",2
"IL-07",3
"TX-21",4
"NY-12",5
"WA-03",0
"WA-09",0
"WA-10",0
"ID-01",1
"ID-02",1
"MT-02",1
"WY-01",1
"CA-05",2
"CA-13",2
"CA-18",2
"CA-19",2
"CA-20",2
"CA-21",2
"CA-24",2
"IL-01",3
"IL-03",3
"IL-04",3
"IL-05",3
"TX-10",4
"TX-11",4
"TX-20",4
"TX-23",4
"TX-27",4
"TX-35",4
"NJ-08",5
"NJ-09",5
"NY-07",5
"NY-10",5
"NY-13",5
"NY-14",5
"OR-01",0
"OR-03",0
"WA-04",0
"WA-08",0
"NV-02",1
"OR-02",1
"WA-05",1
"CA-03",2
"CA-07",2
"CA-09",2
"CA-23",2
"NV-03",2
"NV-04",2
"IL-02",3
"IL-06",3
"IL-11",3
"IL-14",3
"IL-16",3
"TX-01",4
"TX-02",4
"TX-05",4
"TX-08",4
"TX-09",4
"TX-17",4
"TX-36",4
"TX-37",4
"NJ-07",5
"NJ-10",5
"NJ-11",5
"WA-01",0
"WA-07",0
"UT-02",1
"CA-14",2
"IL-08",3
"TX-19",4
"TX-25",4
"TX-31",4
"NJ-05",5
"ND-01",1
"SD-01",1
"CA-16",2
"CA-17",2
"NY-05",5
"NY-06",5
"NY-08",5
"OR-04",0
"OR-05",0
"OR-06",0
"CO-02",1
"CO-03",1
"CO-04",1
"NE-03",1
"UT-03",1
"IL-09",3
"NM-02",4
"TX-16",4
"TX-28",4
"NY-09",5
"NY-11",5
"CA-01",1
"CA-02",1
"UT-04",1
"CA-26",2
"CA-27",2
"IL-15",3
"IN-01",3
"IN-04",3
"IN-08",3
"TX-22",4
"TX-34",4
"NY-15",5
"WA-02",0
"TX-15",4
"NY-03",5
"NY-16",5
"IL-10",3
"AR-04",4
"LA-04",4
"TX-03",4
"TX-04",4
"TX-32",4
"NJ-06",5
"NJ-12",5
"PA-01",5
"PA-07",5
"PA-08",5
"UT-01",1
"CA-04",2
"CA-06",2
"TX-18",4
"TX-29",4
"TX-38",4
"MN-07",1
"CA-08",2
"IA-01",3
"IA-02",3
"IL-17",3
"WI-01",3
"WI-02",3
"WI-03",3
"TX-06",4
"TX-24",4
"TX-30",4
"TX-33",4
"IA-04",1
"MN-01",1
"CA-10",2
"TX-07",4
"NY-17",5
"NY-18",5
"CO-07",1
"CO-08",1
"AZ-09",2
"CA-25",2
"CA-28",2
"CA-33",2
"CA-39",2
"CA-48",2
"NY-04",5
"AZ-02",1
"CO-05",1
"NM-03",1
"NV-01",2
"IL-12",3
"IL-13",3
"MO-03",3
"MO-06",3
"CO-01",1
"CO-06",1
"KS-01",1
"OK-03",1
"IN-02",3
"MI-05",3
"TX-14",4
"KS-02",1
"NE-01",1
"NE-02",1
"CA-12",2
"IN-05",3
"IN-06",3
"IN-07",3
"IN-09",3
"CA-15",2
"KY-01",3
"KY-02",3
"TX-13",4
"TX-12",4
"TX-26",4
"CA-32",2
"IA-03",3
"NY-01",5
"NY-02",5
"CA-29",2
"CA-30",2
"AZ-06",4
"NM-01",4
"CT-04",5
"NJ-03",5
"NJ-04",5
"MN-02",1
"MN-06",1
"MN-08",1
"WI-04",3
"WI-05",3
"WI-06",3
"PA-02",5
"PA-04",5
"MN-04",3
"WI-07",3
"WI-08",3
"PA-09",5
"AZ-03",2
"AZ-07",2
"AZ-08",2
"MO-02",3
"MO-08",3
"NY-19",5
"CA-52",2
"MO-01",3
"AR-01",4
"AR-02",4
"AR-03",4
"LA-05",4
