"PNR","date","flightnum","Exporter","Importer","Priority","Reason","Latitude_exp","Longitude_exp","Latitude_imp","Longitude_imp","Millions","country","distance","st"
"UAUCKG","12/21/19","4464","LAS","PIT","SA","LEISURE","36.08010101","-115.1520004","40.49150085","-80.23290253","100","United States","1907.51484573647","NV"
"SCEEUA","12/20/19","2553","SNA","LAS","SA","LEISURE","33.67570114","-117.8679962","36.08010101","-115.1520004","100","United States","226.712958352764","CA"
"V485N2","12/16/19","2956","LAS","SNA","SA","LEISURE","36.08010101","-115.1520004","33.67570114","-117.8679962","100","United States","226.712958352764","NV"
"RS599Z","12/15/19","5322","SNA","LAS","SA","LEISURE","33.67570114","-117.8679962","36.08010101","-115.1520004","100","United States","226.712958352764","CA"
"JHGIIS","12/12/19","3904","PHX","SNA","SA","LEISURE","33.43429947","-112.012001","33.67570114","-117.8679962","100","United States","337.912930306161","AZ"
"RRJF7O","12/11/19","116","BOS","DEN","SA","LEISURE","42.36429977","-71.00520325","39.86169815","-104.6729965","100","United States","1751.49007402554","MA"
"","12/11/19","2583","DEN","SNA","SA","LEISURE","39.86169815","-104.6729965","33.67570114","-117.8679962","100","United States","845.775308866637","CO"
"W6YTPB","12/8/19","2778","HOU","BOS","SA","LEISURE","29.64539909","-95.27890015","42.36429977","-71.00520325","100","United States","1609.1574064427","TX"
"S26OKS","12/6/19","2535","SNA","DEN","SA","LEISURE","33.67570114","-117.8679962","39.86169815","-104.6729965","100","United States","845.775308866637","CA"
"T7ZSKI","12/6/19","677","DEN","HOU","SA","LEISURE","39.86169815","-104.6729965","29.64539909","-95.27890015","100","United States","884.463889987707","CO"
"JBR4H8","11/29/19","3400","PDX","OAK","SA","LEISURE","45.58869934","-122.5979996","37.721298","-122.221001","100","United States","544.514496106171","OR"
"","11/29/19","2745","OAK","SNA","SA","LEISURE","37.721298","-122.221001","33.67570114","-117.8679962","100","United States","371.502264206427","CA"
"TZWX43","11/27/19","1938","SNA","OAK","SA","LEISURE","33.67570114","-117.8679962","37.721298","-122.221001","100","United States","371.502264206427","CA"
"","11/27/19","1710","OAK","PDX","SA","LEISURE","37.721298","-122.221001","45.58869934","-122.5979996","100","United States","544.514496106171","CA"
"T9DNMR","11/18/19","1824","LAX","ABQ","SA","LEISURE","33.94250107","-118.4079971","35.040199","-106.609001","100","United States","676.510966855522","CA"
"UPURPW","11/18/19","982","LAS","LAX","SA","LEISURE","36.08010101","-115.1520004","33.94250107","-118.4079971","100","United States","236.370633429273","NV"
"WARK89","11/15/19","527","DEN","SNA","SA","LEISURE","39.86169815","-104.6729965","33.67570114","-117.8679962","100","United States","845.775308866637","CO"
"","11/15/19","599","LGA","DEN","SA","LEISURE","40.77719879","-73.87259674","39.86169815","-104.6729965","100","United States","1617.17872017848","NY"
"POREYV","11/8/19","2469","LAS","PIT","SA","LEISURE","36.08010101","-115.1520004","40.49150085","-80.23290253","100","United States","1907.51484573647","NV"
"","11/8/19","2301","SNA","LAS","SA","LEISURE","33.67570114","-117.8679962","36.08010101","-115.1520004","100","United States","226.712958352764","CA"
"LVEHOS","10/28/19","2337","LAS","SNA","SA","LEISURE","36.08010101","-115.1520004","33.67570114","-117.8679962","100","United States","226.712958352764","NV"
"WC7A3O","10/27/19","3415","CMH","LAS","SA","LEISURE","39.998001","-82.891899","36.08010101","-115.1520004","100","United States","1768.32208029614","OH"
"LWU8UD","10/24/19","687","LAS","CMH","SA","LEISURE","36.08010101","-115.1520004","39.998001","-82.891899","100","United States","1768.32208029614","NV"
"LK6G7J","10/23/19","2405","SNA","LAS","SA","LEISURE","33.67570114","-117.8679962","36.08010101","-115.1520004","100","United States","226.712958352764","CA"
"PC7CUV","10/20/19","3405","MDW","DEN","SA","LEISURE","41.785999","-87.752403","39.86169815","-104.6729965","100","United States","894.07918347581","IL"
"","10/20/19","5004","BOS","MDW","SA","LEISURE","42.36429977","-71.00520325","41.785999","-87.752403","100","United States","859.350649284758","MA"
"","10/20/19","4138","DEN","SNA","SA","LEISURE","39.86169815","-104.6729965","33.67570114","-117.8679962","100","United States","845.775308866637","CO"
"SOSF92","10/17/19","294","HOU","BOS","SA","LEISURE","29.64539909","-95.27890015","42.36429977","-71.00520325","100","United States","1609.1574064427","TX"
"","10/17/19","331","SNA","HOU","SA","LEISURE","33.67570114","-117.8679962","29.64539909","-95.27890015","100","United States","1355.87489793306","CA"
"T6LQ8R","9/28/19","4348","LAS","SNA","SA","LEISURE","36.08010101","-115.1520004","33.67570114","-117.8679962","100","United States","226.712958352764","NV"
"JYH97Z","9/25/19","192","SNA","LAS","SA","LEISURE","33.67570114","-117.8679962","36.08010101","-115.1520004","100","United States","226.712958352764","CA"
"SYH753","9/23/19","285","LAS","SNA","SA","LEISURE","36.08010101","-115.1520004","33.67570114","-117.8679962","100","United States","226.712958352764","NV"
"LUY949","9/21/19","5135","SNA","LAS","SA","LEISURE","33.67570114","-117.8679962","36.08010101","-115.1520004","100","United States","226.712958352764","CA"
"L3O5K6","9/16/19","1955","LAS","SNA","SA","LEISURE","36.08010101","-115.1520004","33.67570114","-117.8679962","100","United States","226.712958352764","NV"
"TOT9MD","9/14/19","4350","SNA","LAS","SA","LEISURE","33.67570114","-117.8679962","36.08010101","-115.1520004","100","United States","226.712958352764","CA"
"RU2G4K","8/26/19","1209","LAS","SNA","SA","LEISURE","36.08010101","-115.1520004","33.67570114","-117.8679962","100","United States","226.712958352764","NV"
"OX3L8P","8/25/19","3112","PNS","DAL","SA","LEISURE","30.47340012","-87.18659973","32.847099","-96.851799","100","United States","591.974882742706","FL"
"PIWI9I","8/25/19","1730","DAL","PHX","SA","LEISURE","32.847099","-96.851799","33.43429947","-112.012001","100","United States","878.179790967238","TX"
"PZ7KRK","8/25/19","4300","PHX","LAS","SA","LEISURE","33.43429947","-112.012001","36.08010101","-115.1520004","100","United States","255.563214022355","AZ"
"QH6NZA","8/21/19","1702","SNA","LAS","SA","LEISURE","33.67570114","-117.8679962","36.08010101","-115.1520004","100","United States","226.712958352764","CA"
"L9RHAH","8/10/19","4440","OAK","SNA","SA","LEISURE","37.721298","-122.221001","33.67570114","-117.8679962","100","United States","371.502264206427","CA"
"VZUAQI","8/9/19","1712","SNA","LAS","SA","LEISURE","33.67570114","-117.8679962","36.08010101","-115.1520004","100","United States","226.712958352764","CA"
"","8/9/19","260","LAS","LAX","SA","LEISURE","36.08010101","-115.1520004","33.94250107","-118.4079971","100","United States","236.370633429273","NV"
"","8/9/19","1925","LAX","SFO","SA","LEISURE","33.94250107","-118.4079971","37.61899948","-122.375","100","United States","337.884023112948","CA"
"NIF4IC","8/6/19","865","LAS","SAN","SA","LEISURE","36.08010101","-115.1520004","32.73360062","-117.1900024","100","United States","259.025143747685","NV"
"SGDEHI","8/3/19","4768","SAN","LAS","SA","LEISURE","32.73360062","-117.1900024","36.08010101","-115.1520004","100","United States","259.025143747685","CA"
"WOAINK","7/31/19","712","LAS","SNA","SA","LEISURE","36.08010101","-115.1520004","33.67570114","-117.8679962","100","United States","226.712958352764","NV"
"QJN43M","7/29/19","149","GEG","LAS","SA","LEISURE","47.61989975","-117.5339966","36.08010101","-115.1520004","100","United States","807.44951713194","WA"
"RGTJ73","7/29/19","1257","LAS","DEN","SA","LEISURE","36.08010101","-115.1520004","39.86169815","-104.6729965","100","United States","627.862500559171","NV"
"RMDS6T","7/29/19","887","DEN","LAS","SA","LEISURE","39.86169815","-104.6729965","36.08010101","-115.1520004","100","United States","627.862500559171","CO"
"SLS23S","7/27/19","2830","LAS","GEG","SA","LEISURE","36.08010101","-115.1520004","47.61989975","-117.5339966","100","United States","807.44951713194","NV"
"","7/27/19","3460","SNA","LAS","SA","LEISURE","33.67570114","-117.8679962","36.08010101","-115.1520004","100","United States","226.712958352764","CA"
"J35IFK","7/22/19","1453","OAK","SNA","SA","LEISURE","37.721298","-122.221001","33.67570114","-117.8679962","100","United States","371.502264206427","CA"
"VTZ79S","7/22/19","1453","LAS","OAK","SA","LEISURE","36.08010101","-115.1520004","37.721298","-122.221001","100","United States","407.02248890192","NV"
"USVTM9","7/21/19","2725","SAT","LAS","SA","LEISURE","29.53370094","-98.46980286","36.08010101","-115.1520004","100","United States","1068.32640176707","TX"
"UC8GVU","7/18/19","2514","LAS","SAT","SA","LEISURE","36.08010101","-115.1520004","29.53370094","-98.46980286","100","United States","1068.32640176707","NV"
"UC9CUP","7/17/19","6604","SNA","LAS","SA","LEISURE","33.67570114","-117.8679962","36.08010101","-115.1520004","100","United States","226.712958352764","CA"
"JHB5PK","7/8/19","1793","LAS","SNA","SA","LEISURE","36.08010101","-115.1520004","33.67570114","-117.8679962","100","United States","226.712958352764","NV"
"W6AZFT","7/3/19","438","SNA","LAS","SA","LEISURE","33.67570114","-117.8679962","36.08010101","-115.1520004","100","United States","226.712958352764","CA"
"P88VOS","6/4/19","169","PHX","SNA","SA","LEISURE","33.43429947","-112.012001","33.67570114","-117.8679962","100","United States","337.912930306161","AZ"
"","6/4/19","1598","HOU","PHX","SA","LEISURE","29.64539909","-95.27890015","33.43429947","-112.012001","100","United States","1019.32806534298","TX"
"QCYORS","5/30/19","2263","MSY","HOU","SA","LEISURE","29.99340057","-90.25800323","29.64539909","-95.27890015","100","United States","302.236438617748","LA"
"","5/30/19","474","TPA","MSY","SA","LEISURE","27.97550011","-82.53320313","29.99340057","-90.25800323","100","United States","487.654224263074","FL"
"N7QLH7","5/29/19","142","LAS","SAT","SA","LEISURE","36.08010101","-115.1520004","29.53370094","-98.46980286","100","United States","1068.32640176707","NV"
"","5/29/19","142","SAT","TPA","SA","LEISURE","29.53370094","-98.46980286","27.97550011","-82.53320313","100","United States","971.581754467554","TX"
"LXEOGF","5/28/19","1502","SNA","LAS","SA","LEISURE","33.67570114","-117.8679962","36.08010101","-115.1520004","100","United States","226.712958352764","CA"
"PNRUCZ","5/20/19","2187","LAS","SNA","SA","LEISURE","36.08010101","-115.1520004","33.67570114","-117.8679962","100","United States","226.712958352764","NV"
"L6GCMS","5/19/19","4533","SNA","LAS","SA","LEISURE","33.67570114","-117.8679962","36.08010101","-115.1520004","100","United States","226.712958352764","CA"
"JQBIGE","5/18/19","1708","SJC","LAX","SA","LEISURE","37.362598","-121.929001","33.94250107","-118.4079971","100","United States","308.362583250563","CA"
"W8MVUH","5/18/19","3585","PDX","SJC","SA","LEISURE","45.58869934","-122.5979996","37.362598","-121.929001","100","United States","570.027228859724","OR"
"U9IWUT","5/17/19","2202","SJC","PDX","SA","LEISURE","37.362598","-121.929001","45.58869934","-122.5979996","100","United States","570.027228859724","CA"
"","5/17/19","6519","SNA","SJC","SA","LEISURE","33.67570114","-117.8679962","37.362598","-121.929001","100","United States","342.412805227554","CA"
"TXDY4E","5/9/19","2187","LAS","SNA","SA","LEISURE","36.08010101","-115.1520004","33.67570114","-117.8679962","100","United States","226.712958352764","NV"
"","5/9/19","488","TPA","LAS","SA","LEISURE","27.97550011","-82.53320313","36.08010101","-115.1520004","100","United States","1982.7138657914","FL"
"VEZZ66","5/4/19","1254","IND","TPA","SA","LEISURE","39.7173","-86.294403","27.97550011","-82.53320313","100","United States","840.167551853446","IN"
"","5/4/19","4072","BOS","IND","SA","LEISURE","42.36429977","-71.00520325","39.7173","-86.294403","100","United States","817.140230266721","MA"
"OQS4M2","5/2/19","795","TPA","BWI","SA","LEISURE","27.97550011","-82.53320313","39.1754","-76.668297","100","United States","844.667659071351","FL"
"","5/2/19","2113","BWI","BOS","SA","LEISURE","39.1754","-76.668297","42.36429977","-71.00520325","100","United States","369.523854415652","MD"
