"PNR","date","flightnum","Exporter","Importer","Priority","Reason","Latitude_exp","Longitude_exp","Latitude_imp","Longitude_imp","Millions","country","distance","st"
"VU3SBT","4/30/19","2028","BWI","TPA","SA","LEISURE","39.1754","-76.668297","27.97550011","-82.53320313","100","United States","844.667659071351","MD"
"R4BMQ9","4/25/19","1111","SNA","DAL","SA","LEISURE","33.67570114","-117.8679962","32.847099","-96.851799","100","United States","1214.7570929739","CA"
"","4/25/19","1010","DAL","DCA","SA","LEISURE","32.847099","-96.851799","38.8521","-77.037697","100","United States","1182.95275124591","TX"
"MKG43K","4/17/19","532","LAS","SNA","SA","LEISURE","36.08010101","-115.1520004","33.67570114","-117.8679962","100","United States","226.712958352764","NV"
"K8FMC7","4/16/19","533","SNA","LAS","SA","LEISURE","33.67570114","-117.8679962","36.08010101","-115.1520004","100","United States","226.712958352764","CA"
"RGN7R8","4/10/19","504","SNA","SJC","SA","LEISURE","33.67570114","-117.8679962","37.362598","-121.929001","100","United States","342.412805227554","CA"
"","4/10/19","935","SJC","SNA","SA","LEISURE","37.362598","-121.929001","33.67570114","-117.8679962","100","United States","342.412805227554","CA"
"MP8ZQ9","4/8/19","1941","LAS","SNA","SA","LEISURE","36.08010101","-115.1520004","33.67570114","-117.8679962","100","United States","226.712958352764","NV"
"V3GWGC","4/6/19","4656","SNA","LAS","SA","LEISURE","33.67570114","-117.8679962","36.08010101","-115.1520004","100","United States","226.712958352764","CA"
"K83T6G","3/25/19","1441","SJC","SNA","SA","LEISURE","37.362598","-121.929001","33.67570114","-117.8679962","100","United States","342.412805227554","CA"
"J6UZ2O","3/24/19","3658","LAS","SJC","SA","LEISURE","36.08010101","-115.1520004","37.362598","-121.929001","100","United States","385.958901594617","NV"
"RXHIUH","3/23/19","5399","TPA","LAS","SA","LEISURE","27.97550011","-82.53320313","36.08010101","-115.1520004","100","United States","1982.7138657914","FL"
"RDAA2J","3/18/19","1409","DCA","TPA","SA","LEISURE","38.8521","-77.037697","27.97550011","-82.53320313","100","United States","816.033945822038","DC"
"MCPBWD","3/16/19","3803","ATL","BWI","SA","LEISURE","33.6367","-84.428101","39.1754","-76.668297","100","United States","576.958787854953","GA"
"K82GQK","3/15/19","1441","SNA","LAS","SA","LEISURE","33.67570114","-117.8679962","36.08010101","-115.1520004","100","United States","226.712958352764","CA"
"","3/15/19","2517","LAS","ATL","SA","LEISURE","36.08010101","-115.1520004","33.6367","-84.428101","100","United States","1744.70773845013","NV"
"TUQ6BC","2/10/19","2410","TPA","DEN","SA","LEISURE","27.97550011","-82.53320313","39.86169815","-104.6729965","100","United States","1506.89560024304","FL"
"","2/10/19","5250","DEN","SNA","SA","LEISURE","39.86169815","-104.6729965","33.67570114","-117.8679962","100","United States","845.775308866637","CO"
"RKC2WR","2/4/19","2293","LAS","TPA","SA","LEISURE","36.08010101","-115.1520004","27.97550011","-82.53320313","100","United States","1982.7138657914","NV"
"MX9QMP","2/2/19","4195","SNA","LAS","SA","LEISURE","33.67570114","-117.8679962","36.08010101","-115.1520004","100","United States","226.712958352764","CA"
"JKQKCZ","1/27/19","2249","SNA","LAS","SA","LEISURE","33.67570114","-117.8679962","36.08010101","-115.1520004","100","United States","226.712958352764","CA"
"","1/28/19","1883","LAS","SNA","SA","LEISURE","36.08010101","-115.1520004","33.67570114","-117.8679962","100","United States","226.712958352764","NV"
"PVIIP3","1/11/19","924","DEN","SNA","SA","LEISURE","39.86169815","-104.6729965","33.67570114","-117.8679962","100","United States","845.775308866637","CO"
"","1/11/19","1545","RIC","ATL","SA","LEISURE","37.50519943","-77.31970215","33.6367","-84.428101","100","United States","480.946821338893","VA"
"","1/11/19","1440","ATL","DEN","SA","LEISURE","33.6367","-84.428101","39.86169815","-104.6729965","100","United States","1198.42826125718","GA"
"URH33S","1/9/19","927","TPA","ATL","SA","LEISURE","27.97550011","-82.53320313","33.6367","-84.428101","100","United States","407.404459187488","FL"
"","1/9/19","733","ATL","RIC","SA","LEISURE","33.6367","-84.428101","37.50519943","-77.31970215","100","United States","480.946821338893","GA"
"","12/12/19","","SNA","PHX","SA","LEISURE","33.67570114","-117.8679962","33.43429947","-112.012001","100","United States","337.9129","CA"
