"code","dem","rep","fips","abbreviation","votes","name"
"Alabama",0,1,1,"Alabama",9,"Alabama"
"Alaska",0,1,2,"Alaska",3,"Alaska"
"Arizona",0,1,3,"Arizona",11,"Arizona"
"Arkansas",0,1,4,"Arkansas",6,"Arkansas"
"California",1,0,5,"California",55,"California"
"Colorado",0.527480071521262,0.472519928478738,6,"Colorado",9,"Colorado"
"Connecticut",1,0,7,"Connecticut",7,"Connecticut"
"D. C.",1,0,8,"D. C.",3,"D. C."
"Delaware",1,0,9,"Delaware",3,"Delaware"
"Florida",0.504422521393662,0.495577478606338,10,"Florida",29,"Florida"
"Georgia",0,1,11,"Georgia",16,"Georgia"
"Hawaii",1,0,12,"Hawaii",4,"Hawaii"
"Idaho",0,1,13,"Idaho",4,"Idaho"
"Illinois",1,0,14,"Illinois",20,"Illinois"
"Indiana",0,1,15,"Indiana",11,"Indiana"
"Iowa",0.529593519281002,0.470406480718998,16,"Iowa",6,"Iowa"
"Kansas",0,1,17,"Kansas",6,"Kansas"
"Kentucky",0,1,18,"Kentucky",8,"Kentucky"
"Louisiana",0,1,19,"Louisiana",8,"Louisiana"
"Maine",1,0,20,"Maine",4,"Maine"
"Maryland",1,0,21,"Maryland",10,"Maryland"
"Massachusetts",1,0,22,"Massachusetts",11,"Massachusetts"
"Michigan",1,0,23,"Michigan",16,"Michigan"
"Minnesota",1,0,24,"Minnesota",10,"Minnesota"
"Mississippi",0,1,25,"Mississippi",6,"Mississippi"
"Missouri",0,1,26,"Missouri",10,"Missouri"
"Montana",0,1,27,"Montana",3,"Montana"
"Nebraska",0,1,28,"Nebraska",5,"Nebraska"
"Nevada",1,0,29,"Nevada",6,"Nevada"
"New Hampshire",0.528337519782581,0.471662480217419,30,"New Hampshire",4,"New Hampshire"
"New Jersey",1,0,31,"New Jersey",14,"New Jersey"
"New Mexico",1,0,32,"New Mexico",5,"New Mexico"
"New York",1,0,33,"New York",29,"New York"
"North Carolina",0.48965965096995,0.51034034903005,34,"North Carolina",15,"North Carolina"
"North Dakota",0,1,35,"North Dakota",3,"North Dakota"
"Ohio",0.51514552536952,0.48485447463048,36,"Ohio",18,"Ohio"
"Oklahoma",0,1,37,"Oklahoma",7,"Oklahoma"
"Oregon",1,0,38,"Oregon",7,"Oregon"
"Pennsylvania",0.527319340018918,0.472680659981082,39,"Pennsylvania",20,"Pennsylvania"
"Rhode Island",1,0,40,"Rhode Island",4,"Rhode Island"
"South Carolina",0,1,41,"South Carolina",9,"South Carolina"
"South Dakota",0,1,42,"South Dakota",3,"South Dakota"
"Tennessee",0,1,43,"Tennessee",11,"Tennessee"
"Texas",0,1,44,"Texas",38,"Texas"
"Utah",0,1,45,"Utah",6,"Utah"
"Vermont",1,0,46,"Vermont",3,"Vermont"
"Virginia",0.519673766887645,0.480326233112355,47,"Virginia",13,"Virginia"
"Washington",1,0,48,"Washington",12,"Washington"
"West Virginia",0,1,49,"West Virginia",5,"West Virginia"
"Wisconsin",1,0,50,"Wisconsin",10,"Wisconsin"
"Wyoming",0,1,51,"Wyoming",3,"Wyoming"
