"year","district","VOTE","REP_lag","TURNOUT","INC","INC_lag","partycontrol","unc","unc_lag","REPUBLICAN_IMPUTED","REPUBLICAN_LAG_IMPUTED"
2004,1,0.13428437641284,NA,247728,-1,NA,NA,-1,NA,0.25,NA
2004,2,0.119616792444304,NA,287677,-1,NA,NA,-1,NA,0.25,NA
2004,3,0.600799238271106,NA,277264,1,NA,NA,0,NA,0.600799238271106,NA
2004,4,0.637269517702537,NA,320632,1,NA,NA,0,NA,0.637269517702537,NA
2004,5,1,NA,192852,1,NA,NA,1,NA,0.75,NA
2004,6,0.510134415016305,NA,314325,1,NA,NA,0,NA,0.510134415016305,NA
2004,7,0.592950574379766,NA,331488,1,NA,NA,0,NA,0.592950574379766,NA
2004,8,0.560923417907524,NA,326656,0,NA,NA,0,NA,0.560923417907524,NA
2004,9,0.695266439588544,NA,265107,1,NA,NA,0,NA,0.695266439588544,NA
2004,10,1,NA,191967,1,NA,NA,1,NA,0.75,NA
2004,11,0,NA,171147,-1,NA,NA,-1,NA,0.25,NA
2004,12,0,NA,204504,-1,NA,NA,-1,NA,0.25,NA
2004,13,0.425480318963902,NA,298968,0,NA,NA,0,NA,0.425480318963902,NA
2004,14,0,NA,220139,-1,NA,NA,-1,NA,0.25,NA
2004,15,0.598128154795289,NA,285280,0,NA,NA,0,NA,0.598128154795289,NA
2004,16,0.651065489486934,NA,282030,1,NA,NA,0,NA,0.651065489486934,NA
2004,17,0.397169270359855,NA,286004,-1,NA,NA,0,NA,0.397169270359855,NA
2004,18,0.627609303741667,NA,315314,1,NA,NA,0,NA,0.627609303741667,NA
2004,19,1,NA,224274,1,NA,NA,1,NA,0.75,NA
2006,1,0,0.13428437641284,137987,-1,-1,-1,-1,-1,0.25,0.25
2006,2,0.0944048308018214,0.119616792444304,183158,-1,-1,-1,-1,-1,0.25,0.25
2006,3,0.560461693392207,0.600799238271106,193635,1,1,1,0,0,0.560461693392207,0.600799238271106
2006,4,0.480685765598292,0.637269517702537,253906,1,1,1,0,0,0.480685765598292,0.637269517702537
2006,5,0.600922842438225,1,191582,1,1,1,0,1,0.600922842438225,0.75
2006,6,0.506602103465738,0.510134415016305,238939,1,1,1,0,0,0.506602103465738,0.510134415016305
2006,7,0.43620103383602,0.592950574379766,262324,1,1,1,0,0,0.43620103383602,0.592950574379766
2006,8,0.496961496272929,0.560923417907524,249794,1,0,1,0,0,0.496961496272929,0.560923417907524
2006,9,0.603296807339084,0.695266439588544,200679,1,1,1,0,0,0.603296807339084,0.695266439588544
2006,10,0.470542415747895,1,207977,1,1,1,0,1,0.470542415747895,0.75
2006,11,0.275298991762554,0,185373,-1,-1,-1,0,-1,0.275298991762554,0.25
2006,12,0.392015126745583,0,203084,-1,-1,-1,0,-1,0.392015126745583,0.25
2006,13,0.338741811002423,0.425480318963902,222860,-1,0,-1,0,0,0.338741811002423,0.425480318963902
2006,14,0,0,161075,-1,-1,-1,-1,-1,0.25,0.25
2006,15,0.551905749743942,0.598128154795289,192339,1,0,1,0,0,0.551905749743942,0.598128154795289
2006,16,0.588545480432837,0.651065489486934,196656,1,1,1,0,0,0.588545480432837,0.651065489486934
2006,17,0.354735129849371,0.397169270359855,212708,-1,-1,-1,0,0,0.354735129849371,0.397169270359855
2006,18,0.578410004359111,0.627609303741667,250051,1,1,1,0,0,0.578410004359111,0.627609303741667
2006,19,0.5,1,285024,1,1,1,0,1,0.5,0.75
2008,1,0.0923842953426562,0,267513,-1,-1,-1,-1,-1,0.25,0.25
2008,2,0.110703548577742,0.0944048308018214,311336,-1,-1,-1,-1,-1,0.25,0.25
2008,3,0.487632718429326,0.560461693392207,286603,1,1,1,0,0,0.487632718429326,0.560461693392207
2008,4,0.441420345144589,0.480685765598292,333947,-1,1,-1,0,0,0.441420345144589,0.480685765598292
2008,5,0.580224757669147,0.600922842438225,268022,0,1,1,0,0,0.580224757669147,0.600922842438225
2008,6,0.521010526315789,0.506602103465738,344375,1,1,1,0,0,0.521010526315789,0.506602103465738
2008,7,0.404073604168973,0.43620103383602,352317,-1,1,-1,0,0,0.404073604168973,0.43620103383602
2008,8,0.423075353090048,0.496961496272929,342972,-1,1,-1,0,0,0.423075353090048,0.496961496272929
2008,9,0.639239858816308,0.603296807339084,273686,1,1,1,0,0,0.639239858816308,0.603296807339084
2008,10,0.436683501565576,0.470542415747895,285518,-1,1,-1,0,0,0.436683501565576,0.470542415747895
2008,11,0.483726589778859,0.275298991762554,283530,-1,-1,-1,0,0,0.483726589778859,0.275298991762554
2008,12,0.421479350790646,0.392015126745583,268388,-1,-1,-1,0,0,0.421479350790646,0.392015126745583
2008,13,0.354825178033617,0.338741811002423,305139,-1,-1,-1,0,0,0.354825178033617,0.338741811002423
2008,14,0,0,242326,-1,-1,-1,-1,-1,0.25,0.25
2008,15,0.585709858409251,0.551905749743942,309766,1,1,1,0,0,0.585709858409251,0.551905749743942
2008,16,0.586286064394435,0.588545480432837,290522,1,1,1,0,0,0.586286064394435,0.588545480432837
2008,17,0.363205863691641,0.354735129849371,302608,-1,-1,-1,0,0,0.363205863691641,0.354735129849371
2008,18,0.640668448394943,0.578410004359111,333010,1,1,1,0,0,0.640668448394943,0.578410004359111
2008,19,0.666459598958571,0.5,328395,1,1,-1,0,0,0.666459598958571,0.5
2010,1,0,0.0923842953426562,149944,-1,-1,-1,-1,-1,0.25,0.25
2010,2,0.107016369738211,0.110703548577742,204707,-1,-1,-1,-1,-1,0.25,0.25
2010,3,0.557224161367903,0.487632718429326,200833,-1,1,-1,0,0,0.557224161367903,0.487632718429326
2010,4,0.491864499442774,0.441420345144589,237785,-1,-1,-1,0,0,0.491864499442774,0.441420345144589
2010,5,0.708707355869234,0.580224757669147,179802,1,0,1,0,0,0.708707355869234,0.580224757669147
2010,6,0.571024873753004,0.521010526315789,234263,1,1,1,0,0,0.571024873753004,0.521010526315789
2010,7,0.555434655576109,0.404073604168973,248139,0,-1,-1,0,0,0.555434655576109,0.404073604168973
2010,8,0.535226314539962,0.423075353090048,244306,-1,-1,-1,0,0,0.535226314539962,0.423075353090048
2010,9,0.73061279128438,0.639239858816308,194226,1,1,1,0,0,0.73061279128438,0.639239858816308
2010,10,0.551767317718077,0.436683501565576,200445,-1,-1,-1,0,0,0.551767317718077,0.436683501565576
2010,11,0.54700557289464,0.483726589778859,186797,-1,-1,-1,0,0,0.54700557289464,0.483726589778859
2010,12,0.492209517022448,0.421479350790646,185226,-1,-1,-1,0,0,0.492209517022448,0.421479350790646
2010,13,0.43658428928746,0.354825178033617,210697,-1,-1,-1,0,0,0.43658428928746,0.354825178033617
2010,14,0.290561980589295,0,172070,-1,-1,-1,0,-1,0.290561980589295,0.25
2010,15,0.578626518753302,0.585709858409251,189300,1,1,1,0,0,0.578626518753302,0.585709858409251
2010,16,0.653868468652947,0.586286064394435,205107,1,1,1,0,0,0.653868468652947,0.586286064394435
2010,17,0.444994051132159,0.363205863691641,213486,-1,-1,-1,0,0,0.444994051132159,0.363205863691641
2010,18,0.673282150670005,0.640668448394943,240446,1,1,1,0,0,0.673282150670005,0.640668448394943
2010,19,0.755224712937907,0.666459598958571,218768,1,1,1,1,0,0.75,0.666459598958571
2012,1,0.150514972825891,NA,277102,-1,NA,NA,-1,NA,0.25,NA
2012,2,0.0949518854694971,NA,351557,-1,NA,NA,-1,NA,0.25,NA
2012,3,0.572289385316763,NA,289759,1,NA,NA,0,NA,0.572289385316763,NA
2012,4,0.63442982609364,NA,286246,0,NA,NA,0,NA,0.63442982609364,NA
2012,5,0.629246101286885,NA,282465,1,NA,NA,0,NA,0.629246101286885,NA
2012,6,0.571412818006247,NA,335528,1,NA,NA,0,NA,0.571412818006247,NA
2012,7,0.593977665928233,NA,353451,1,NA,NA,0,NA,0.593977665928233,NA
2012,8,0.56603489685951,NA,352238,1,NA,NA,0,NA,0.56603489685951,NA
2012,9,0.616747780754999,NA,274305,1,NA,NA,0,NA,0.616747780754999,NA
2012,10,0.655842068738814,NA,273790,1,NA,NA,0,NA,0.655842068738814,NA
2012,11,0.585442394406693,NA,285198,1,NA,NA,0,NA,0.585442394406693,NA
2012,12,0.51735257758725,NA,338941,-1,NA,NA,0,NA,0.51735257758725,NA
2012,13,0.30912484077691,NA,303819,-1,NA,NA,0,NA,0.30912484077691,NA
