State,party-contol,drew-lines,
AL,GOP,Leg,
AK,NA,NA,
AZ,SPLIT,Comm,
AR,GOP,Leg,
CA,SPLIT,Comm,
CO,SPLIT,Comm,
CT,SPLIT,Court,
DE,NA,NA,
FL,GOP,Leg,
GA,GOP,Leg,
HI,SPLIT,Comm,
ID,SPLIT,Comm,
IL,DEM,Leg,
IN,GOP,Leg,
IA,GOP,Leg,
KS,GOP,Leg,
KY,GOP,Leg,
LA,GOP,Leg,
ME,SPLIT,Leg,
MD,DEM,Leg(Court),
MA,DEM,Leg,
MI,SPLIT,Comm,
MN,SPLIT,Court,
MS,GOP,Leg,
MO,GOP,Leg,
MT,SPLIT,Comm,
NE,GOP,Leg,
NV,DEM,Leg,
NH,SPLIT,Court,
NJ,SPLIT,Comm,
NM,DEM,Leg,
NY,DEM,Court,`
NC,GOP,Court,
ND,NA,NA,
OH,GOP,Leg,
OK,GOP,Leg,
OR,DEM,Leg,
PA,SPLIT,Court,
RI,DEM,Leg,
SC,GOP,Leg,
SD,NA,NA,
TN,GOP,Leg,
TX,GOP,Leg,
UT,GOP,Leg,
VT,NA,NA,
VA,SPLIT,Court,
WA,SPLIT,Comm,
WV,GOP,Leg,
WI,SPLIT,Court,
WY,NA,NA,
