"ID","ag-2016","ag-2020","ag-2024","aud-2016","aud-2020","aud-2024","gov-2016","gov-2020","gov-2024","lt-gov-2016","lt-gov-2020","lt-gov-2024","president-2016","president-2020","president-2024","sc-3-2022","sc-5-2022","sc-6-2024","senator-2016","senator-2020","senator-2022","sos-2016","sos-2020","sos-2024","trea-2016","trea-2020","trea-2024"
1,0.5465,0.5277,0.5091,0.5735,0.5514,0.49739663093415,0.528174001011634,0.535043425570592,0.545736434108527,0.525384067555194,0.5064,0.511268182749437,0.524467649467649,0.508430085815245,0.484092515907484,0.4688,0.4691,0.5008,0.521108044567106,0.515938729041606,0.469947025264874,0.5899,0.5429,0.5241,0.5398,0.5015,0.4909
2,0.6515,0.6772,0.695,0.629,0.6873,0.669121460429416,0.659409179188388,0.704381417098709,0.776603614075874,0.61390639528877,0.6594,0.692070348657822,0.655125092367782,0.679547308319739,0.672012257405516,0.6736,0.6719,0.6806,0.620550913030022,0.659145513423169,0.681254483960234,0.6649,0.6878,0.6988,0.6119,0.6333,0.6448
3,0.4263,0.4223,0.4244,0.4498,0.4442,0.403784510391893,0.410991027732463,0.43727780599289,0.481696381474839,0.405511001439441,0.4056,0.420208915089461,0.406172328086164,0.412272681093163,0.389619587211655,0.3733,0.3784,0.4098,0.398630421249222,0.417007874015748,0.384103246952781,0.4595,0.4396,0.427,0.4119,0.4067,0.3881
4,0.7115,0.7262,0.7463,0.6856,0.7332,0.728876508820798,0.721338229294166,0.754613668627053,0.809618193198414,0.686264415156507,0.7129,0.74700522166479,0.726374434983706,0.733963606790688,0.730215460022465,0.7355,0.7349,0.7357,0.688142211261817,0.715145228215768,0.745176110260337,0.7197,0.7329,0.7462,0.6779,0.692,0.7059
5,0.4654,0.4383,0.4453,0.463,0.4415,0.419779767417927,0.466100828305553,0.461444928564191,0.506149479659413,0.423207488941467,0.4169,0.43751286802553,0.427175382056347,0.422177215189873,0.410394083679465,0.3986,0.4028,0.4297,0.423212801330008,0.43208198264143,0.40579561744829,0.4872,0.4476,0.44,0.4322,0.4183,0.4095
6,0.4284,0.4287,0.4488,0.4231,0.433,0.41972761040033,0.432701178882624,0.453797725426483,0.516125610014853,0.387469084913438,0.4097,0.440322413971272,0.398254001247142,0.417681688997158,0.41320467242255,0.39,0.3913,0.4309,0.390470232509644,0.42247167436005,0.398260869565217,0.444,0.4362,0.4385,0.3935,0.4089,0.4059
7,0.4736,0.4585,0.4622,0.4664,0.4607,0.435195703810802,0.459049959049959,0.478464039008533,0.542108612643191,0.429544047864659,0.4389,0.46086508753862,0.434936130439298,0.44420775005072,0.429872495446266,0.4259,0.4243,0.4483,0.42940380813651,0.445927482921703,0.433640081799591,0.4874,0.4681,0.4579,0.4366,0.4331,0.4217
8,0.4194,0.4203,0.4324,0.4156,0.4224,0.409516943042538,0.403755868544601,0.44165061340363,0.49177562210038,0.373368950991472,0.4002,0.428424727870199,0.392132375897596,0.410214835832996,0.401926977687627,0.3884,0.3885,0.4194,0.381021745916138,0.402024207011686,0.396913012368394,0.4349,0.4279,0.4227,0.3922,0.3909,0.3938
9,0.438,0.4435,0.4492,0.442,0.4478,0.426732571310885,0.43813221620517,0.468229801055623,0.516295749393524,0.405310827501029,0.4247,0.446301454658001,0.414161310387725,0.429643907882723,0.419841913254966,0.4058,0.4036,0.4375,0.408355795148248,0.434300073290755,0.409239574816026,0.4604,0.4527,0.4496,0.4156,0.4247,0.4165
10,0.4408,0.4231,0.4443,0.4323,0.4296,0.414187171831566,0.442542286007176,0.448674992385014,0.511193241816262,0.392401153212521,0.4088,0.433141328944662,0.410913256274081,0.418729707792208,0.410578579390009,0.3917,0.3981,0.4261,0.39983305509182,0.416561712846348,0.401983842928725,0.4533,0.4336,0.4306,0.3976,0.3975,0.4001
11,0.4562,0.4526,0.4773,0.4555,0.4565,0.461697295065042,0.471752577319588,0.475106685633001,0.539057591623037,0.428141537822974,0.437,0.473305215512807,0.416290542668206,0.444229987809833,0.451904520060945,0.4472,0.457,0.4663,0.430046948356808,0.447437101993945,0.45491887451222,0.4761,0.4602,0.4699,0.43,0.4301,0.4478
12,0.7235,0.7406,0.7631,0.7083,0.7429,0.738636363636364,0.72819514194937,0.765492598264421,0.812421185372005,0.697368421052632,0.7334,0.754526748971193,0.742791234140715,0.754734270006109,0.735179487179487,0.7296,0.7318,0.7422,0.703876451077944,0.732101616628176,0.745932671646373,0.7252,0.7473,0.7435,0.684,0.6994,0.7111
13,0.4275,0.4308,0.4486,0.4464,0.4454,0.425005179200331,0.420397756246813,0.449675324675325,0.521172983273343,0.384938955576075,0.4068,0.445132652007846,0.396666666666667,0.412524143539697,0.416472258849782,0.4155,0.4105,0.4351,0.391763245033113,0.414390756302521,0.41301678264429,0.4735,0.4515,0.4611,0.4019,0.4004,0.4121
14,0.417,0.4253,0.4606,0.4074,0.4257,0.43158870801566,0.420135329095756,0.446551724137931,0.520397378989643,0.36829644879053,0.4097,0.450482843640847,0.388547631441957,0.418364244451201,0.423922959959453,0.4094,0.4181,0.4437,0.383691793693882,0.4141065830721,0.418573763792399,0.4264,0.4321,0.442,0.3829,0.4003,0.4157
