"ID","ag-2018","ag-2022","aud-2022","gov-2018","gov-2022","president-2016","president-2020","president-2024","sc-1-2022","sc-1-2024","sc-2-2022","sc-2-2024","sc-3-2024","sc-c-2022","senator-2016","senator-2018","senator-2022","senator-2024","sos-2022","trea-2022"
1,0.4888,0.4417,0.4455,0.481900452488688,0.4137,0.482888540031397,0.500863382427628,0.486876640419948,0.4626,0.4598,0.4675,0.4712,0.4811,0.469,0.380267000417188,0.5235,0.4995,0.51179391682185,0.441667509865426,0.4441
2,0.3466,0.273,0.2873,0.35138201320132,0.2581,0.306335455589187,0.299097637635608,0.287585650947199,0.2958,0.3005,0.3002,0.2979,0.3021,0.3,0.29929835584878,0.4093,0.3257,0.326959052172106,0.277614957049015,0.2838
3,0.6749,0.648,0.6638,0.700920245398773,0.6263,0.701268742791234,0.722160186783068,0.703273388563346,0.684,0.7083,0.6901,0.7015,0.6984,0.6927,0.592851187994998,0.7357,0.7178,0.729250025648918,0.648858816400727,0.6638
4,0.307,0.2425,0.2513,0.3158384130592,0.2303,0.292613933996857,0.294715447154472,0.284907183212268,0.2695,0.2956,0.2756,0.2856,0.2915,0.276,0.243669223494799,0.3854,0.3069,0.322570598006645,0.247878787878788,0.2631
5,0.4355,0.3369,0.3521,0.433398984140147,0.3136,0.400253726609578,0.392378048780488,0.380159451004138,0.3712,0.3978,0.3807,0.3852,0.3926,0.3785,0.342348075087496,0.5077,0.4172,0.428066160407781,0.338794498381877,0.352
6,0.4169,0.2984,0.3211,0.417252066115702,0.2731,0.367212772618178,0.348478701825558,0.325504032258065,0.3346,0.3561,0.338,0.3413,0.3494,0.3445,0.351930420025456,0.4766,0.3716,0.373908523908524,0.305336567616737,0.3239
7,0.4814,0.3985,0.4094,0.466419829270801,0.3727,0.437578419071518,0.45150840251063,0.444231544977814,0.437,0.459,0.4478,0.4547,0.4566,0.4485,0.356170167845455,0.5229,0.4803,0.489081170168933,0.398020002020406,0.4125
8,0.4186,0.365,0.3713,0.41199505358615,0.3396,0.396465174649655,0.425294356475842,0.421100454316002,0.387,0.3991,0.3909,0.4101,0.4171,0.3925,0.308773025288792,0.4603,0.4262,0.449735997515271,0.367016976556184,0.3722
9,0.497,0.4021,0.4144,0.498394614189539,0.3538,0.47451892577712,0.465778500966134,0.446598021401171,0.4327,0.4577,0.4364,0.4489,0.4567,0.4394,0.413242249080399,0.5653,0.4807,0.482758620689655,0.401415571284125,0.4179
10,0.4614,0.405,0.4149,0.457920792079208,0.373,0.4552794379784,0.470713849908481,0.460668484297688,0.4324,0.46,0.4338,0.4537,0.4609,0.4401,0.367551745766255,0.5204,0.4704,0.494760867309887,0.409545960157751,0.4205
11,0.8106,0.7344,0.7536,0.800061362241767,0.6989,0.811458547623946,0.79100555836281,0.777318964649008,0.7735,0.7919,0.7765,0.7846,0.7939,0.7819,0.733116269299443,0.8326,0.7958,0.803011677934849,0.744099253580795,0.7537
12,0.3576,0.2971,0.3148,0.372212516699209,0.2859,0.340322918850912,0.353096446700508,0.348194472463183,0.3311,0.3555,0.3411,0.348,0.3502,0.3409,0.28401004604437,0.4309,0.3729,0.38635186911049,0.301463907117617,0.3153
13,0.5534,0.4709,0.4871,0.553173948887057,0.445,0.527830089976983,0.530026374518158,0.516601069734585,0.508,0.531,0.516,0.5179,0.5293,0.5184,0.461228813559322,0.5921,0.5459,0.555405965202983,0.463069617055673,0.4905
14,0.4596,0.3547,0.3779,0.460171505320798,0.3286,0.417093302685195,0.413821055831391,0.397297569829586,0.4002,0.4222,0.4034,0.4121,0.4175,0.4102,0.366677252037684,0.5195,0.4374,0.446423025157884,0.357510859682796,0.3782
15,0.456,0.4008,0.4158,0.481876989423966,0.3872,0.444922818439567,0.462710831131884,0.449404160775601,0.4347,0.455,0.444,0.4486,0.4526,0.4443,0.37151832460733,0.5266,0.475,0.488047190313567,0.402101434633259,0.4178
