"ID","ag-2016","ag-2020","auditor-2016","auditor-2020","gov-2018","gov-2022","president-2016","president-2020","senator-2016","senator-2018","senator-2022","treasurer-2016","treasurer-2020"
1,0.6615,0.672664504655299,0.684113766627014,0.633505044000859,0.733455321744434,0.737159811745447,0.635677601928519,0.640605937372916,0.624556645107448,0.728042435988983,0.690796915167095,0.710991957104558,0.652201727263034
2,0.5648,0.585264900662252,0.584741203056064,0.529393039049236,0.652090097402597,0.653011311525527,0.537675872850443,0.544099756690998,0.530580403578115,0.641012606750712,0.595814526056627,0.624183356538503,0.558665684520678
3,0.4774,0.538802432237452,0.501329362969265,0.475504625735913,0.597568389057751,0.62797800855223,0.473283239407222,0.511131349929164,0.4487895716946,0.573396818964644,0.547275886742308,0.535232224465937,0.50171535502651
4,0.3972,0.409468438538206,0.39676290463692,0.356059802778072,0.489171326893747,0.480857580398162,0.368853322101716,0.376866050573779,0.37387292933529,0.480980471928397,0.424912208221442,0.451644309822588,0.383305298570227
5,0.3712,0.380913119653715,0.346501008813847,0.341926019071571,0.44626334519573,0.447565351101999,0.334030100334448,0.366342648845687,0.342410015649452,0.425038167938931,0.394203801807417,0.379658875552748,0.368181347686575
6,0.367,0.355342012812565,0.360180412371134,0.315352260778128,0.427683212720416,0.414462261260341,0.325722031070796,0.333333333333333,0.330187690049282,0.419321999389189,0.367840955912649,0.387290039584894,0.331146516713527
7,0.4959,0.462850683383003,0.500106564364876,0.430455259026688,0.525081234768481,0.477845528455285,0.448579722164628,0.438138593829034,0.465445892820194,0.527058584627881,0.458405990357985,0.505906140257529,0.441687344913151
8,0.3254,0.344654217114714,0.361514797920866,0.280769632960368,0.389250814332248,0.390129499337208,0.27533062584609,0.291409491045229,0.305034129692833,0.367091186958737,0.332649081391768,0.358647983741577,0.291381810648436
9,0.4526,0.447101077475629,0.478807737025684,0.383342063907805,0.492484257566525,0.471336931066083,0.374329343788692,0.370845539953531,0.420896785109983,0.469842878864673,0.407836701200123,0.496768040690898,0.406191950464396
10,0.9339,0.936314921681781,0.930609731061384,0.933367662203914,0.958952583156405,0.959113450055662,0.950771116331325,0.942383107088989,0.929842296805499,0.958489419864331,0.943965079687341,0.93744231360886,0.930167885467092
11,0.3525,0.363318237958007,0.38380055638776,0.304247509176717,0.418497700562085,0.418079673135853,0.298192456378644,0.312170385395538,0.326014779907893,0.397565715454638,0.362292051756007,0.383157441309498,0.310169315466916
12,0.3357,0.419073960254046,0.37384550797649,0.358841241823279,0.46023826494247,0.502037489812551,0.351092611862643,0.399716513111269,0.322553810959759,0.434211865269156,0.421460628314973,0.361457233368532,0.361478117258464
13,0.4449,0.46563078822803,0.413008305468666,0.441630185532625,0.539969527679025,0.525119739121573,0.458685887391622,0.488317993324568,0.426525919732441,0.521761288349811,0.487651780201688,0.448658549725245,0.451819685690653
14,0.4325,0.444581661006483,0.486950986632718,0.372146839171137,0.50386493083808,0.478300827121413,0.367116182572614,0.376544460198501,0.402045381911154,0.481296503924167,0.419238683127572,0.475868725868726,0.389522821576763
15,0.4152,0.402324863697151,0.467414303851037,0.335294117647059,0.474280465401102,0.455185790118416,0.335649828855928,0.336267071320182,0.377682861719167,0.456453091575838,0.396265134414119,0.453857630008525,0.353881278538813
16,0.5491,0.554615781330583,0.60971986417657,0.490939738727349,0.61516568408213,0.586563043255957,0.476476062454762,0.481737012987013,0.515616671996589,0.594961240310078,0.534360554699538,0.601693099014145,0.506619409986448
17,0.3047,0.291147067917139,0.31315732989912,0.249475451112044,0.359914233204002,0.332449250229522,0.269774751178628,0.270698051948052,0.286396434634975,0.350341871619553,0.298732089475312,0.316566135286514,0.258962901382105
18,0.5601,0.545473187737107,0.535717967219874,0.506986854362902,0.626101042826769,0.602980200040825,0.5437944908697,0.526151050080775,0.525078848306033,0.605826819612222,0.539977303208501,0.562724750847632,0.527029804727646
19,0.8299,0.844089390142022,0.858345611450221,0.824913349438084,0.8801501928151,0.884305937468174,0.831924108063518,0.825621337643969,0.82136184347104,0.876449054301403,0.862006079027356,0.848542660307366,0.824897830870795
20,0.5591,0.628968665698278,0.628653723063794,0.568303712272584,0.669891049791264,0.69143846075537,0.545397357936674,0.581674116212922,0.542616033755274,0.653885480572597,0.637086092715232,0.601311404923143,0.577652110168604
21,0.6088,0.668955472326259,0.675695931477516,0.606044650379107,0.707252568406062,0.730694882490589,0.5856665273715,0.616163662143002,0.586181434599156,0.695012264922322,0.67651553744269,0.647491349480969,0.619447653050509
22,0.7469,0.699092899593369,0.738381918039713,0.682141718899394,0.768901569186876,0.698115150890926,0.723850663375501,0.669965663502323,0.723131450015636,0.751933251933252,0.674870734229576,0.760152284263959,0.685528659750603
23,0.7835,0.843961302402996,0.809837458833528,0.812317022166458,0.868254937894523,0.902705989662511,0.822864842454395,0.834393618095527,0.769562538508934,0.86144578313253,0.858385595792029,0.793664383561644,0.81797138047138
24,0.8808,0.907428690836903,0.901205838798392,0.892744810232753,0.93062176691348,0.935823463913352,0.903697600164796,0.901057934508816,0.879847752288859,0.928433268858801,0.918668012108981,0.89307774227902,0.893352965923433
25,0.5515,0.600041169205434,0.61663179916318,0.54402088772846,0.631674941736751,0.648481154119679,0.510826974633945,0.544884121040381,0.523814530543581,0.61142160349558,0.596386153689981,0.599325179249262,0.549792531120332
26,0.481,0.550404480398258,0.469751668307625,0.520673329826407,0.610039791857974,0.618872549019608,0.518382352941177,0.56644349766687,0.476710029374738,0.591221413188391,0.581718878812861,0.509051490514905,0.533979570564936
27,0.6063,0.657012825817129,0.678030704076231,0.602396972245585,0.696163994317029,0.71492613346918,0.588419079358467,0.609810479375697,0.579762030114773,0.684055017829852,0.658646003262643,0.655080213903743,0.614646359273941
28,0.3931,0.480454359394187,0.450654107796965,0.413032217963327,0.517636326778836,0.560158794788274,0.409752547307132,0.457789910019209,0.37401329455754,0.494818126397074,0.482821711730026,0.420265430798399,0.420987527059066
29,0.5093,0.563818889571809,0.484350790207623,0.526880610876071,0.616889699918897,0.654104022754978,0.543781198003328,0.585907530789421,0.489441624365482,0.594882729211087,0.585587424721854,0.500257546100752,0.544043581046356
30,0.4405,0.546788426020932,0.500104733975702,0.481262327416174,0.578583765112263,0.627389182594551,0.475315729047072,0.529209274071074,0.427979274611399,0.559951184785925,0.551909792767168,0.473307360219017,0.490380637153496
31,0.5259,0.571049136786189,0.494183053639452,0.530181293778327,0.626542585474408,0.661111675642719,0.559622563251763,0.590601996571544,0.494523326572008,0.605489719436848,0.590078595488415,0.515745204636373,0.552102564102564
32,0.6279,0.673437822231388,0.693280384575191,0.626945169712794,0.708215297450425,0.717740296687665,0.611099649267588,0.631344792719919,0.613007959782153,0.694213197969543,0.675947566304237,0.66733424686413,0.631344058121432
33,0.5206,0.569145096421574,0.587875593041645,0.506345044572627,0.610140215403373,0.635151638510075,0.500934579439252,0.520356491796638,0.492997788775403,0.595859677748317,0.568807339449541,0.560525192143467,0.51653838152694
34,0.7957,0.830879303193696,0.837263157894737,0.80845276702584,0.856998279526364,0.866010751597525,0.804103515826374,0.811800302571861,0.790242386575513,0.84650548557497,0.837900697744969,0.824010190001061,0.80928967465216
35,0.6582,0.659262320487654,0.725804760406837,0.611263157894737,0.695136778115501,0.690321268808459,0.591581108829569,0.581454140964708,0.637591745558983,0.67958892958893,0.645417515274949,0.711605723370429,0.620725496310155
36,0.6588,0.697293895531781,0.726181545386346,0.648268513585509,0.738104920699471,0.752349816101349,0.612832321540716,0.641762257638818,0.635938827527613,0.726343756386675,0.714925677051517,0.700681744399957,0.663562281722934
37,0.3057,0.340974212034384,0.317702227432591,0.317320633605963,0.416411824668705,0.437563555013219,0.312716580909377,0.355034986309705,0.305188728293647,0.387902896776826,0.374718986306969,0.307264362897186,0.316673536685903
38,0.5623,0.602284420662688,0.653394803017603,0.529571862242228,0.643009010833249,0.642559251347777,0.49426830527729,0.518769604371142,0.529878371232152,0.62306753458096,0.585072803176866,0.622823779193206,0.550160805062766
39,0.4566,0.481930184804928,0.535527690700104,0.409583333333333,0.532880048711183,0.527899176745604,0.392561983471074,0.412080129502226,0.421947613012252,0.510966693744923,0.466415248190806,0.501743264659271,0.424831867563373
40,0.4015,0.490631719053957,0.463280357328347,0.425002591479216,0.519776876267748,0.561859332183091,0.415406916545869,0.461896098645644,0.385723166183174,0.499036217916202,0.489396245560629,0.430873888016745,0.432089859851608
41,0.4297,0.46285243877341,0.452505609573672,0.437245696400626,0.54525993883792,0.567355666429081,0.445698017714045,0.476620346891165,0.434864497227163,0.509805924412666,0.492177114224358,0.443153705496397,0.436540854417254
42,0.5625,0.651560407868988,0.620155855096883,0.605416666666667,0.694106925880923,0.734247967479675,0.605972323379461,0.643413203922758,0.553933747412008,0.678890694839496,0.67183698296837,0.595440084835631,0.611975923619759
43,0.2995,0.317090759245905,0.306510138740662,0.293681462140992,0.38494535798182,0.3989816700611,0.300699300699301,0.32559323760057,0.293391886240067,0.360852197070573,0.341999794471277,0.301590713671539,0.293684538006844
44,0.4478,0.518571869533903,0.50136669470143,0.456773386171655,0.559098294069862,0.581416649704865,0.449227258583135,0.483697853381936,0.426588750913075,0.54133577682753,0.514562118126273,0.480435702199662,0.465810194778284
45,0.552,0.586604842864503,0.620599054125066,0.526960527693435,0.627800871945655,0.639240506329114,0.508178053830228,0.526816433920259,0.517774505679428,0.611624834874505,0.5782874617737,0.597969757851327,0.542402826855124
46,0.4517,0.47877793725651,0.511647429171039,0.413990229705852,0.533850709690595,0.538039614017268,0.406681190994917,0.43190779496512,0.415491475478847,0.514747762408462,0.477053017197517,0.488534291450914,0.428822495606327
47,0.3766,0.404754553874653,0.462170706006322,0.369799853295609,0.501320601381552,0.498311329444274,0.361247775567884,0.399837464445347,0.36751867045335,0.452397995705082,0.425973492242885,0.383642405402508,0.373388773388773
48,0.4423,0.450815468253154,0.498210902967796,0.382490880667014,0.500612870275792,0.487445359357528,0.381258422307453,0.393207318305873,0.40864210638072,0.488798783578307,0.432140307943306,0.480203260639424,0.404222291213909
49,0.6844,0.676244014157818,0.702650705429671,0.662927293893534,0.753827311696265,0.731224489795918,0.703847363455289,0.678513403736799,0.68528553563985,0.740812974748512,0.694046644844517,0.700053734551316,0.657594472940437
