"ID","ag-2018","ag-2022","compt-2018","gov-2018","gov-2022","ltgov-2018","ltgov-2022","pres-2016","pres-2020","pres-2024","sc-2016","sc-2018","sc-2020","senator-2018","senator-2020","senator-2024","trea-2022"
1,0.272958405369674,0.226016923233765,0.253143850322053,0.245098039215686,0.219605861546235,0.287892650198231,0.224577134705523,0.25381286067601,0.267934837599919,0.241803692121457,0.253557434522582,0.188028831087433,0.261,0.270569301951318,0.261378678342328,0.252520109968435,0.215415821501014
2,0.370760114425828,0.369102682701203,0.336588876323635,0.326336071392354,0.369675456389452,0.362016293279022,0.36967894142989,0.333438618656559,0.384521756770464,0.379645569620253,0.298519908276006,0.259514470475989,0.3601,0.375843658708573,0.363738854155991,0.402169463774048,0.34519427402863
3,0.411849265838382,0.407653219952297,0.371248839847375,0.356335877862595,0.400263664942704,0.400756336876533,0.407669435045627,0.361477853492334,0.426767162354858,0.397327852004111,0.314719748559455,0.287085985543209,0.3875,0.420490067560754,0.392484128609461,0.426760707349484,0.368388809475189
4,0.364259410801964,0.342745259686727,0.327948137476847,0.313864906043677,0.335357215138636,0.360575451484542,0.343900194293895,0.320004198152813,0.368517202882371,0.334623217922607,0.291240875912409,0.250588235294118,0.3403,0.368261964735516,0.343925615612547,0.358854113569171,0.311876145854553
5,0.394215044971382,0.363036303630363,0.367574257425743,0.351304700984872,0.358431293068504,0.390236445169181,0.36427985227739,0.350470673425054,0.38649250708789,0.363101875316777,0.335213621644208,0.282960265609939,0.3744,0.397119548796455,0.372412379585981,0.391561957299009,0.339647757526111
6,0.379899703203357,0.350598431696244,0.349162011173184,0.334416573575708,0.346831342376999,0.376173948550429,0.353677300235922,0.337667741599917,0.378688025955592,0.355861789441686,0.326539144977527,0.268699839486356,0.3643,0.38095717884131,0.363645683822022,0.382106339468303,0.327702702702703
7,0.667857507400225,0.645293875873407,0.612072517511331,0.604236683980039,0.642965972574911,0.655288363562258,0.646865702267364,0.65716689452098,0.650745360511104,0.60693283813061,0.586030486531635,0.51921802518224,0.6152,0.674791016215127,0.617746392385631,0.636747297992795,0.608544562551104
8,0.36539834744466,0.325586157469028,0.340069757899056,0.328976697061803,0.325807431406297,0.360232013839422,0.328326180257511,0.333576262363352,0.362273325904164,0.328436835173741,0.314493506493506,0.261241291956935,0.3476,0.367673716012085,0.348574943612877,0.353633572159673,0.304804651637254
9,0.793103448275862,0.766622272308165,0.771933429217177,0.741559363276893,0.766389283539679,0.781205601786077,0.766323377960865,0.7949142030184,0.77002427184466,0.723808556041053,0.767189758414206,0.685527502254283,0.7592,0.795957361222848,0.75384931225621,0.750716919295371,0.750153972490248
10,0.403111156897085,0.384368861780213,0.361139896373057,0.353061224489796,0.376231589639411,0.400965687281693,0.381863047501542,0.360258995860312,0.404361561194334,0.374212558423085,0.327768385460693,0.283569190882575,0.3757,0.410114060765116,0.380737704918033,0.391170746696712,0.349227463419625
11,0.29969262295082,0.261186371100164,0.274829651042742,0.266741071428571,0.253800932495439,0.306352459016393,0.256599897277863,0.280100072969874,0.295359935018784,0.270715440582053,0.267737195633921,0.207673504091827,0.2878,0.302147393890513,0.285201517793047,0.288652409700194,0.241700819672131
12,0.40815278776055,0.397258851624961,0.375855631611699,0.362562379061004,0.391758855171014,0.40041004613019,0.401196369636964,0.364652536117262,0.407851912123678,0.385705608422758,0.339000839630563,0.290827261037291,0.3827,0.417070217917676,0.383958868894602,0.412114379419904,0.367924528301887
