"ID","ag-2018","ag-2022","gov-2018","gov-2022","president-2016","president-2020","president-2024","senator-2016","senator-2018","senator-2022","senator-2024","trea-2018","trea-2022"
1,0.296519342655915,0.2602,0.321846091287994,0.264845246496623,0.29941829719725,0.335646494540259,0.312322371092164,0.267224255096707,0.323163388197511,0.272064038909717,0.291930541368744,0.306706706706707,0.266
2,0.438446680898648,0.363,0.462396107845125,0.379643612201752,0.438387635756057,0.444523254635728,0.408376432410506,0.424953290429728,0.472935044105854,0.396501162908282,0.388300040766409,0.426040832666133,0.3638
3,0.414483038797481,0.349,0.440815498529263,0.356884057971015,0.423209258680012,0.428773919206237,0.393656905461546,0.407946744331184,0.455548866144893,0.371006874241812,0.391543555781966,0.430344275420336,0.3626
4,0.445346594945702,0.3781,0.475416456335184,0.389892060930092,0.445379898139487,0.466050948949558,0.440162271805274,0.387250830564784,0.463837897482195,0.40287333063537,0.438850387280881,0.449449449449449,0.3929
5,0.374707736098404,0.331,0.410725106039184,0.341082930756844,0.384963196635121,0.420069063579118,0.391520943472956,0.312843941439103,0.401183194625489,0.353422995247244,0.384826604291671,0.379441497347613,0.3389
6,0.36295088648869,0.3006,0.393114654209404,0.314947156517363,0.378490605211253,0.380596260737746,0.348458817584639,0.376089925412333,0.39574766823789,0.333568975964452,0.357842137466857,0.381305044035228,0.321296388916675
7,0.440669319457198,0.3811,0.476968344155844,0.397543047024469,0.459774950047324,0.471977298064255,0.436928702010969,0.430293501048218,0.479490522515294,0.419733117670845,0.441641989175942,0.456184276414622,0.401820546163849
8,0.4149652919559,0.3586,0.446680898647962,0.378612425737589,0.430291508238276,0.445560629122273,0.418054427294882,0.408653337564794,0.457693465823547,0.39645928174001,0.422966605203852,0.430673741115227,0.3798
9,0.448915147193644,0.3606,0.47746192893401,0.365981459089077,0.489050337311884,0.465783887597291,0.410347271438696,0.457798643714137,0.470853817598074,0.386966201173851,0.41231647634584,0.465558670404485,0.3761
10,0.645805728264193,0.5775,0.682015990284384,0.59157915993538,0.678222502363694,0.666700466436828,0.621453990849009,0.620239958268127,0.672048941931602,0.617408906882591,0.617529472065607,0.654682023034552,0.593
11,0.4059546794025,0.3538,0.437854251012146,0.371807761914337,0.43622210690192,0.451625934154716,0.420796594709638,0.402648868495151,0.433206489084719,0.391225416036309,0.415445665445665,0.420610305152576,0.3726
12,0.440574396578063,0.3823,0.490548780487805,0.396855789579764,0.477782435548103,0.470349721236695,0.422238003449325,0.460946558448403,0.491767068273092,0.409819435991073,0.43212022081374,0.468962755306368,0.3991
13,0.416436675866299,0.3906,0.473314320635567,0.40780998389694,0.451969665051612,0.460618347693867,0.432758620689655,0.445551903297635,0.485338421369753,0.420197094381794,0.442811957963473,0.45478217325989,0.4093
14,0.432146490335707,0.3959,0.48580121703854,0.409352010480701,0.471590909090909,0.485589608280901,0.446868973916574,0.439152328997063,0.482993879803351,0.423158747847229,0.447218259629101,0.463910301331465,0.4131
15,0.428498519955088,0.3564,0.468338941572346,0.371296109655311,0.44927384808275,0.446345414051427,0.39957330082292,0.453173168916764,0.470570510245078,0.383710315447814,0.417717625346047,0.452342811373648,0.3755
16,0.444059153493116,0.3935,0.484411495887072,0.409529553679131,0.471012221874021,0.472278429785512,0.430943701903605,0.455822240855256,0.489914701455093,0.42047753945771,0.433434959349593,0.466066066066066,0.4086
17,0.408136215334421,0.3494,0.434332148298629,0.359646479863413,0.42358803986711,0.429998990612698,0.388799029518803,0.398890517060917,0.442182328753385,0.371024734982332,0.381512264342185,0.422653592155293,0.3608
18,0.423354694334249,0.3575,0.454148027653518,0.370403948826433,0.452286489872625,0.448845218800648,0.414456367685766,0.433561283534982,0.452072668874837,0.382427371191416,0.418815615125879,0.442142142142142,0.3749
19,0.342137342543681,0.297,0.369221411192214,0.298404095152063,0.378409090909091,0.389056831922612,0.347927199191102,0.318290032087776,0.375902889245586,0.307436517533253,0.317566201738427,0.363154207945562,0.3017
20,0.771538617474154,0.6901,0.777263115496929,0.683870967741935,0.76347612215618,0.743021263730727,0.687512649261283,0.747573807334764,0.778813389456805,0.703999192082408,0.704718417047184,0.772395155640076,0.6938
21,0.44014657980456,0.3682,0.467913087417888,0.375188347564038,0.449772162386081,0.455572365103379,0.418225953271973,0.463667110792252,0.472459115079763,0.390699082013518,0.427441435959842,0.456001601761938,0.3801
22,0.51783355350066,0.4234,0.531388776746064,0.421882849392143,0.534420476829394,0.514519056261343,0.446965859588694,0.489289740698985,0.535524601663493,0.436812909732728,0.445705024311183,0.526421136909528,0.4254
23,0.646070846905538,0.5551,0.664718331149854,0.557589779700231,0.65555898385272,0.63412666397741,0.569693288794412,0.625358753587536,0.659147869674185,0.575141585760518,0.576817766960754,0.65979175010012,0.5673
24,0.8503346177246,0.7382,0.861231482414592,0.733697300576281,0.855652173913043,0.784497530490878,0.695366248482396,0.814731457800511,0.85224538893344,0.751265438347844,0.709900386257369,0.85,0.7449
25,0.546871815773385,0.4594,0.552092788703984,0.455925218614936,0.560049397962334,0.525483481063658,0.453892094341533,0.522184650066605,0.562481210542139,0.472547436415018,0.462488609901792,0.554665598718462,0.4594
