"ID","ag-2018","ag-2022","gov-2018","gov-2022","ltgov-2022","president-2016","president-2020","president-2024","senator-2022","senator-2024","sos-2022","treas-2022"
1,0.5709,0.5434,0.551,0.5254,0.5458,0.574198440207972,0.591623036649215,0.56314592806945,0.5547,0.5472,0.5486,0.5389
2,0.6298,0.6079,0.6172,0.6002,0.6155,0.632123236022837,0.64554110781202,0.627258647392876,0.623,0.6071,0.6158,0.6053
3,0.5345,0.5181,0.5183,0.5097,0.5279,0.548773900831803,0.571648532128926,0.552724259374353,0.5365,0.5303,0.529,0.5175
4,0.5891,0.5582,0.5712,0.5481,0.5642,0.607651912978245,0.607987711213518,0.574801525930508,0.5732,0.5608,0.5661,0.5544
5,0.4114,0.3728,0.397,0.3607,0.3773,0.406687898089172,0.425782048660806,0.393967374576793,0.384,0.3842,0.3796,0.3742
6,0.5416,0.5161,0.5219,0.5073,0.5244,0.554899011602922,0.5645657975775,0.543359173126615,0.5344,0.526,0.5274,0.5153
7,0.5743,0.538,0.5548,0.5319,0.5481,0.600958977091103,0.600511508951407,0.566246382802811,0.5559,0.5514,0.5496,0.5397
8,0.6966,0.6777,0.6837,0.671,0.6788,0.732916622523572,0.717980169682102,0.675924014040884,0.689,0.6687,0.682,0.6749
9,0.6074,0.5753,0.5895,0.5584,0.5719,0.640917256683927,0.633929483903935,0.55895106339046,0.5871,0.5584,0.5767,0.5689
10,0.6458,0.6344,0.6383,0.6442,0.6518,0.690488869954202,0.697260834014718,0.673735388434882,0.6589,0.6434,0.6479,0.6355
11,0.8714,0.8419,0.8694,0.861,0.8526,0.906493780307822,0.880330544786778,0.853149770546516,0.8647,0.835,0.8497,0.8449
12,0.9107,0.8892,0.9053,0.9007,0.8983,0.931060123220735,0.912080057183703,0.888200063045077,0.9067,0.8788,0.9026,0.8916
13,0.5928,0.5134,0.5668,0.4959,0.5075,0.611311544991511,0.590555214095472,0.502570958453311,0.5294,0.5135,0.5188,0.5039
14,0.7051,0.6738,0.6967,0.6833,0.6868,0.750982683522788,0.732182969164795,0.681003957508852,0.6961,0.6673,0.6875,0.6756
15,0.775,0.747,0.7626,0.755,0.754,0.812270196449207,0.792273978187748,0.74816043113276,0.7657,0.7335,0.7511,0.7474
16,0.735,0.7122,0.7275,0.7245,0.728,0.792176039119804,0.769749616760347,0.749481542928246,0.74,0.72,0.7255,0.7129
17,0.7314,0.6918,0.7237,0.7096,0.7096,0.788245279015489,0.745994489233595,0.703711447987454,0.7171,0.6892,0.7089,0.7019
18,0.7054,0.6549,0.6856,0.645,0.6537,0.750371628795923,0.718286824082592,0.646779521056978,0.6731,0.6417,0.6576,0.6442
19,0.6737,0.6522,0.663,0.653,0.6636,0.710630553473932,0.702589294852113,0.678238341968912,0.6716,0.6575,0.662,0.6497
20,0.3344,0.3082,0.3304,0.2974,0.3083,0.329699407281964,0.365960928710238,0.335072641702476,0.317,0.3261,0.3141,0.3072
21,0.5923,0.5324,0.5655,0.5172,0.5253,0.614766236513645,0.60794932052723,0.530826140567201,0.5419,0.526,0.5373,0.5257
22,0.5898,0.5231,0.5642,0.5024,0.5089,0.608654253068134,0.587139053860332,0.490651325251695,0.5366,0.4946,0.5267,0.5095
23,0.411,0.3823,0.3936,0.38,0.3848,0.412923728813559,0.438075742067554,0.400492914356131,0.3947,0.3948,0.389,0.3792
24,0.6115,0.592,0.5929,0.5874,0.6,0.634811553742081,0.648402294141745,0.628819157720892,0.6077,0.603,0.5995,0.5879
25,0.5684,0.5368,0.5487,0.5375,0.5362,0.590442255292392,0.583588175331295,0.529862957660053,0.556,0.5198,0.5442,0.5271
26,0.5793,0.5431,0.5646,0.5505,0.5561,0.607574793125398,0.614230298080849,0.578616999382589,0.5668,0.5572,0.5573,0.5426
27,0.5886,0.5294,0.5683,0.5308,0.533,0.598723404255319,0.600368135801207,0.550273280395999,0.5549,0.5401,0.5398,0.5259
28,0.6472,0.6139,0.6298,0.6197,0.6225,0.677538917716827,0.666836682648169,0.63081695966908,0.6388,0.6116,0.6243,0.6265
29,0.8,0.7224,0.7741,0.7204,0.7129,0.814893166913476,0.755112474437628,0.673545191910854,0.7528,0.6724,0.7253,0.7061
30,0.7776,0.7383,0.7628,0.7409,0.7446,0.771181069089372,0.728892962623485,0.70708221163802,0.7615,0.7107,0.7487,0.7343
31,0.6277,0.5479,0.6027,0.5469,0.5514,0.652303120356612,0.628063725490196,0.56298969072165,0.5703,0.5473,0.5565,0.5431
32,0.6762,0.6087,0.6621,0.6248,0.6298,0.694802450876822,0.671456231529604,0.628798022453394,0.6467,0.6124,0.6305,0.6153
33,0.6326,0.5553,0.6066,0.5529,0.5562,0.658164885173034,0.63227919353188,0.550623133175404,0.573,0.5437,0.5643,0.5474
34,0.8781,0.8117,0.8483,0.8181,0.805,0.89066808059385,0.828981054787506,0.765186426476749,0.8314,0.7616,0.8204,0.7956
35,0.6163,0.5371,0.5945,0.5357,0.5379,0.648502803936091,0.620108306937775,0.540016501650165,0.5547,0.5313,0.5448,0.5316
36,0.7079,0.6588,0.6968,0.6684,0.6776,0.736097820308347,0.725313999795772,0.702057272821255,0.6944,0.6677,0.6763,0.6632
37,0.8993,0.8454,0.8824,0.8503,0.8304,0.923696038465559,0.873407399857303,0.8115971935617,0.8645,0.7986,0.8557,0.843
38,0.6412,0.5472,0.6157,0.5543,0.5527,0.681170134121871,0.642521934299123,0.564025651634257,0.5701,0.5477,0.5554,0.5477
