"ID","ag-2018","ag-2022","gov-2018","gov-2022","ltgov-2022","president-2016","president-2020","president-2024","senator-2022","senator-2024","sos-2022","treas-2022"
1,0.3891,0.353,0.3666,0.3276,0.3508,0.38283012786075,0.402604059872873,0.371707818930041,0.3631,0.3584,0.3576,0.3526
2,0.7314,0.7106,0.7195,0.7071,0.7209,0.746237956046335,0.753587535875359,0.733850931677019,0.7268,0.7125,0.7198,0.7062
3,0.4553,0.4446,0.4398,0.4321,0.4523,0.457700183209398,0.490875538240722,0.480384059467272,0.4595,0.4559,0.4513,0.4432
4,0.6635,0.6408,0.6464,0.6335,0.6491,0.684482202387353,0.687371873718737,0.661228704181724,0.6565,0.6448,0.6494,0.6364
5,0.4208,0.3854,0.4063,0.373,0.3916,0.418822527414032,0.436899161382696,0.409132888660852,0.3971,0.3958,0.3922,0.3875
6,0.5739,0.5495,0.5539,0.5441,0.5581,0.590566444109412,0.594655704008222,0.571798322807744,0.5698,0.5576,0.5634,0.5506
7,0.6745,0.6404,0.6537,0.6376,0.6516,0.705394190871369,0.690205710776788,0.654224987039917,0.661,0.643,0.656,0.6403
8,0.7593,0.7436,0.7488,0.739,0.7426,0.795164185408088,0.775791624106231,0.72542127571591,0.7539,0.7221,0.7473,0.7384
9,0.5364,0.4952,0.5152,0.4753,0.4934,0.56905668358714,0.564422192704608,0.490925964116313,0.5077,0.4904,0.4969,0.4901
10,0.647,0.6384,0.6399,0.6482,0.6553,0.692700574590338,0.701021450459653,0.67494566904688,0.6629,0.6451,0.6519,0.6387
11,0.8714,0.8419,0.8694,0.861,0.8526,0.906493780307822,0.880330544786778,0.853149770546516,0.8647,0.835,0.8497,0.8449
12,0.9107,0.8892,0.9053,0.9007,0.8983,0.931060123220735,0.912080057183703,0.888200063045077,0.9067,0.8788,0.9026,0.8916
13,0.5511,0.4748,0.5239,0.4581,0.4686,0.565839694656489,0.555407756062621,0.472673104581878,0.4899,0.4819,0.4798,0.4659
14,0.7059,0.6742,0.6973,0.683,0.6872,0.750451695185461,0.732148329757892,0.684281701862062,0.696,0.6704,0.6876,0.6771
15,0.775,0.747,0.7626,0.755,0.754,0.812270196449207,0.792273978187748,0.74816043113276,0.7657,0.7335,0.7511,0.7474
16,0.735,0.713,0.7277,0.7253,0.729,0.791555886419228,0.771031380966984,0.751607550300768,0.7408,0.7213,0.7265,0.7136
17,0.7271,0.6871,0.7195,0.7054,0.7051,0.785449146250928,0.741889410324424,0.698221757322176,0.7126,0.6843,0.7044,0.6974
18,0.7145,0.6622,0.6947,0.6524,0.6607,0.759078360586112,0.725135439026883,0.652317538969753,0.6801,0.6482,0.6647,0.6516
19,0.6737,0.6522,0.663,0.653,0.6636,0.710630553473932,0.702589294852113,0.678238341968912,0.6716,0.6575,0.662,0.6497
20,0.3404,0.3142,0.336,0.3047,0.316,0.337039390088945,0.372685421994885,0.344831115660184,0.3232,0.3351,0.3206,0.3151
21,0.5902,0.5248,0.5627,0.5089,0.5163,0.614937671667019,0.60353277516847,0.519564547601931,0.5346,0.5156,0.5292,0.5162
22,0.5664,0.4994,0.5439,0.4785,0.4852,0.584136397331357,0.56604160262322,0.470370750744583,0.5124,0.4729,0.5028,0.4857
23,0.4207,0.3958,0.4033,0.394,0.399,0.421175472098451,0.44969262295082,0.413541559642454,0.408,0.4068,0.4026,0.3925
24,0.6119,0.5925,0.5934,0.5878,0.6005,0.635094501718213,0.648811962310529,0.629335260115607,0.6081,0.6035,0.6,0.5884
25,0.5692,0.5271,0.5463,0.5255,0.5245,0.59142947169415,0.578072412034676,0.512644619637555,0.5457,0.5073,0.5353,0.5154
26,0.5643,0.5293,0.5494,0.5366,0.5426,0.591754330039316,0.60202205882353,0.567812307059066,0.5516,0.5446,0.5431,0.529
27,0.545,0.4894,0.5262,0.4911,0.4941,0.551738806763799,0.563234843063081,0.520144255538382,0.5146,0.5086,0.4997,0.4876
28,0.6516,0.6211,0.6347,0.6267,0.6298,0.682704535820263,0.672786617707058,0.639457893647838,0.6461,0.619,0.6315,0.6338
29,0.8094,0.7316,0.783,0.7285,0.7204,0.824126984126984,0.762323583554919,0.679673789614948,0.7614,0.6786,0.7335,0.7143
30,0.7866,0.7469,0.7715,0.7497,0.7535,0.779902789518174,0.735410937977391,0.71261391880696,0.7702,0.7169,0.7575,0.7429
31,0.67,0.5839,0.6429,0.5837,0.5857,0.697133757961783,0.658429490452364,0.587173935457264,0.6071,0.5744,0.5927,0.5767
32,0.7178,0.6484,0.7036,0.6644,0.6695,0.737402487876871,0.707404012628577,0.661481405171526,0.6874,0.6477,0.6714,0.6548
33,0.6324,0.5501,0.6058,0.5476,0.5503,0.658170280274987,0.629694055049626,0.545211122554068,0.568,0.5392,0.5586,0.5416
34,0.8781,0.8117,0.8483,0.8181,0.805,0.89066808059385,0.828981054787506,0.765186426476749,0.8314,0.7616,0.8204,0.7956
35,0.6537,0.5556,0.6288,0.5515,0.5532,0.683024854574299,0.64291555919035,0.552956933855347,0.5733,0.546,0.5622,0.5464
36,0.7079,0.6588,0.6968,0.6684,0.6776,0.736097820308347,0.725313999795772,0.702057272821255,0.6944,0.6677,0.6763,0.6632
