"ID","ag-2018","ag-2022","aud-2022","gov-2018","gov-2022","president-2016","president-2020","president-2024","sc-1-2022","sc-1-2024","sc-2-2022","sc-2-2024","sc-3-2024","sc-c-2022","senator-2016","senator-2018","senator-2022","senator-2024","sos-2022","trea-2022"
1,0.5227,0.4828,0.486,0.516344572368421,0.4516,0.520595325437585,0.542906468975322,0.532060991618701,0.5041,0.5009,0.5095,0.5135,0.5238,0.5113,0.404439349729054,0.5569,0.5417,0.554407357652165,0.482950521096833,0.4846
2,0.3123,0.2412,0.2539,0.316424373646768,0.2282,0.273882696114179,0.270119602675856,0.260278113663845,0.2645,0.2693,0.2692,0.2691,0.2724,0.2688,0.258809996862909,0.3731,0.2963,0.299168399168399,0.24550414225096,0.2525
3,0.6749,0.648,0.6638,0.700920245398773,0.6263,0.701268742791234,0.722160186783068,0.703273388563346,0.684,0.7083,0.6901,0.7015,0.6984,0.6927,0.592851187994998,0.7357,0.7178,0.729250025648918,0.648858816400727,0.6638
4,0.3222,0.267,0.276,0.334158671206025,0.2552,0.303745672017627,0.318736029262345,0.31456820016142,0.2962,0.3233,0.3049,0.3132,0.3181,0.303,0.251286359340544,0.3971,0.334,0.352502331364625,0.27040404040404,0.2852
5,0.4015,0.311,0.3215,0.398738105088953,0.2882,0.368337730870712,0.363941086846115,0.352305984458573,0.3415,0.3675,0.3499,0.3558,0.363,0.3487,0.318249101289913,0.4752,0.3861,0.396696790277345,0.311767084512738,0.3239
6,0.4234,0.3038,0.3278,0.425461673372537,0.2758,0.371768140116764,0.354420113544201,0.330276154001209,0.3411,0.3627,0.3425,0.3481,0.3559,0.351,0.366437268395977,0.4884,0.3762,0.380076867144489,0.312007277137659,0.3294
7,0.4826,0.4004,0.4113,0.467660668380463,0.3743,0.440079406540591,0.45334008097166,0.446349334409036,0.4388,0.4611,0.4495,0.4567,0.4586,0.4503,0.357142857142857,0.5232,0.4822,0.490783647410153,0.3999596000404,0.4145
8,0.3887,0.3281,0.3355,0.381531485107699,0.3057,0.36475623760309,0.388229325215627,0.380548829701372,0.3496,0.3623,0.3525,0.3726,0.3795,0.3538,0.291089108910891,0.4287,0.3876,0.411404872991187,0.330201071031626,0.3365
9,0.5171,0.4199,0.4345,0.520124481327801,0.37,0.495024348930764,0.485147507629705,0.466135056020995,0.4529,0.4777,0.4565,0.4684,0.4766,0.4597,0.426661050858166,0.5847,0.5021,0.503715332286761,0.419726858877086,0.4373
10,0.4703,0.4125,0.4232,0.467038068709378,0.3799,0.468065023597273,0.482095625635809,0.471063528936471,0.4411,0.4713,0.4421,0.4639,0.4713,0.4497,0.376934337097449,0.5339,0.4796,0.505031642286544,0.417720238697279,0.4292
11,0.8106,0.7344,0.7536,0.800061362241767,0.6989,0.811458547623946,0.79100555836281,0.777318964649008,0.7735,0.7919,0.7765,0.7846,0.7939,0.7819,0.733116269299443,0.8326,0.7958,0.803011677934849,0.744099253580795,0.7537
12,0.3657,0.2925,0.3133,0.379622952508499,0.2843,0.34592779177162,0.343318440292445,0.33498083518257,0.3251,0.3469,0.3355,0.3387,0.3417,0.3338,0.300745563372887,0.4372,0.3655,0.374896265560166,0.298020601898606,0.3123
13,0.5386,0.4541,0.4703,0.538390188601463,0.4287,0.510978670012547,0.514303104077906,0.500201816347124,0.4911,0.5144,0.4997,0.5013,0.5128,0.5018,0.445397733290965,0.5781,0.5296,0.539154754505904,0.446206687544196,0.474
14,0.4702,0.3679,0.3898,0.467893702822873,0.3432,0.428631226454584,0.424285424690858,0.409581442259203,0.4119,0.4339,0.4161,0.4236,0.4289,0.4219,0.376814665677652,0.527,0.4492,0.458208182288969,0.370213195917955,0.3901
15,0.4547,0.4003,0.4145,0.479346485819975,0.3836,0.445576801849128,0.465683782409761,0.453480149510052,0.4337,0.4588,0.442,0.4518,0.456,0.4435,0.364074112844133,0.5273,0.4746,0.491357002380706,0.401798343099616,0.4171
