PNR,date,flightnum,Exporter,Importer,Priority,Reason,Latitude_exp,Longitude_exp,Latitude_imp,Longitude_imp,Millions,st,country
UAUCKG,12/21/19,4464,LAS,PIT,SA,LEISURE,36.08010101,-115.1520004,40.49150085,-80.23290253,1,NV,United States
SCEEUA,12/20/19,2553,SNA,LAS,SA,LEISURE,33.67570114,-117.8679962,36.08010101,-115.1520004,1,CA,United States
V485N2,12/16/19,2956,LAS,SNA,SA,LEISURE,36.08010101,-115.1520004,33.67570114,-117.8679962,1,NV,United States
RS599Z,12/15/19,5322,SNA,LAS,SA,LEISURE,33.67570114,-117.8679962,36.08010101,-115.1520004,1,CA,United States
JHGIIS,12/12/19,3904,PHX,SNA,SA,LEISURE,33.43429947,-112.012001,33.67570114,-117.8679962,1,AZ,United States
,12/12/19,,SNA,PHX,SA,LEISURE,33.67570114,-117.8679962,33.43429947,-112.012001,1,CA,United States
RRJF7O,12/11/19,116,BOS,DEN,SA,LEISURE,42.36429977,-71.00520325,39.86169815,-104.6729965,1,MA,United States
,12/11/19,2583,DEN,SNA,SA,LEISURE,39.86169815,-104.6729965,33.67570114,-117.8679962,1,CO,United States
W6YTPB,12/8/19,2778,HOU,BOS,SA,LEISURE,29.64539909,-95.27890015,42.36429977,-71.00520325,1,TX,United States
S26OKS,12/6/19,2535,SNA,DEN,SA,LEISURE,33.67570114,-117.8679962,39.86169815,-104.6729965,1,CA,United States
T7ZSKI,12/6/19,677,DEN,HOU,SA,LEISURE,39.86169815,-104.6729965,29.64539909,-95.27890015,1,CO,United States
JBR4H8,11/29/19,3400,PDX,OAK,SA,LEISURE,45.58869934,-122.5979996,37.721298,-122.221001,1,OR,United States
,11/29/19,2745,OAK,SNA,SA,LEISURE,37.721298,-122.221001,33.67570114,-117.8679962,1,CA,United States
TZWX43,11/27/19,1938,SNA,OAK,SA,LEISURE,33.67570114,-117.8679962,37.721298,-122.221001,1,CA,United States
,11/27/19,1710,OAK,PDX,SA,LEISURE,37.721298,-122.221001,45.58869934,-122.5979996,1,CA,United States
T9DNMR,11/18/19,1824,LAX,ABQ,SA,LEISURE,33.94250107,-118.4079971,35.040199,-106.609001,1,CA,United States
UPURPW,11/18/19,982,LAS,LAX,SA,LEISURE,36.08010101,-115.1520004,33.94250107,-118.4079971,1,NV,United States
WARK89,11/15/19,527,DEN,SNA,SA,LEISURE,39.86169815,-104.6729965,33.67570114,-117.8679962,1,CO,United States
,11/15/19,599,LGA,DEN,SA,LEISURE,40.77719879,-73.87259674,39.86169815,-104.6729965,1,NY,United States
POREYV,11/8/19,2469,LAS,PIT,SA,LEISURE,36.08010101,-115.1520004,40.49150085,-80.23290253,1,NV,United States
,11/8/19,2301,SNA,LAS,SA,LEISURE,33.67570114,-117.8679962,36.08010101,-115.1520004,1,CA,United States
LVEHOS,10/28/19,2337,LAS,SNA,SA,LEISURE,36.08010101,-115.1520004,33.67570114,-117.8679962,1,NV,United States
WC7A3O,10/27/19,3415,CMH,LAS,SA,LEISURE,39.998001,-82.891899,36.08010101,-115.1520004,1,OH,United States
LWU8UD,10/24/19,687,LAS,CMH,SA,LEISURE,36.08010101,-115.1520004,39.998001,-82.891899,1,NV,United States
LK6G7J,10/23/19,2405,SNA,LAS,SA,LEISURE,33.67570114,-117.8679962,36.08010101,-115.1520004,1,CA,United States
PC7CUV,10/20/19,3405,MDW,DEN,SA,LEISURE,41.785999,-87.752403,39.86169815,-104.6729965,1,IL,United States
,10/20/19,5004,BOS,MDW,SA,LEISURE,42.36429977,-71.00520325,41.785999,-87.752403,1,MA,United States
,10/20/19,4138,DEN,SNA,SA,LEISURE,39.86169815,-104.6729965,33.67570114,-117.8679962,1,CO,United States
SOSF92,10/17/19,294,HOU,BOS,SA,LEISURE,29.64539909,-95.27890015,42.36429977,-71.00520325,1,TX,United States
,10/17/19,331,SNA,HOU,SA,LEISURE,33.67570114,-117.8679962,29.64539909,-95.27890015,1,CA,United States
T6LQ8R,9/28/19,4348,LAS,SNA,SA,LEISURE,36.08010101,-115.1520004,33.67570114,-117.8679962,1,NV,United States
JYH97Z,9/25/19,192,SNA,LAS,SA,LEISURE,33.67570114,-117.8679962,36.08010101,-115.1520004,1,CA,United States
SYH753,9/23/19,285,LAS,SNA,SA,LEISURE,36.08010101,-115.1520004,33.67570114,-117.8679962,1,NV,United States
LUY949,9/21/19,5135,SNA,LAS,SA,LEISURE,33.67570114,-117.8679962,36.08010101,-115.1520004,1,CA,United States
L3O5K6,9/16/19,1955,LAS,SNA,SA,LEISURE,36.08010101,-115.1520004,33.67570114,-117.8679962,1,NV,United States
TOT9MD,9/14/19,4350,SNA,LAS,SA,LEISURE,33.67570114,-117.8679962,36.08010101,-115.1520004,1,CA,United States
RU2G4K,8/26/19,1209,LAS,SNA,SA,LEISURE,36.08010101,-115.1520004,33.67570114,-117.8679962,1,NV,United States
OX3L8P,8/25/19,3112,PNS,DAL,SA,LEISURE,30.47340012,-87.18659973,32.847099,-96.851799,1,FL,United States
PIWI9I,8/25/19,1730,DAL,PHX,SA,LEISURE,32.847099,-96.851799,33.43429947,-112.012001,1,TX,United States
PZ7KRK,8/25/19,4300,PHX,LAS,SA,LEISURE,33.43429947,-112.012001,36.08010101,-115.1520004,1,AZ,United States
QH6NZA,8/21/19,1702,SNA,LAS,SA,LEISURE,33.67570114,-117.8679962,36.08010101,-115.1520004,1,CA,United States
L9RHAH,8/10/19,4440,OAK,SNA,SA,LEISURE,37.721298,-122.221001,33.67570114,-117.8679962,1,CA,United States
VZUAQI,8/9/19,1712,SNA,LAS,SA,LEISURE,33.67570114,-117.8679962,36.08010101,-115.1520004,1,CA,United States
,8/9/19,260,LAS,LAX,SA,LEISURE,36.08010101,-115.1520004,33.94250107,-118.4079971,1,NV,United States
,8/9/19,1925,LAX,SFO,SA,LEISURE,33.94250107,-118.4079971,37.61899948,-122.375,1,CA,United States
NIF4IC,8/6/19,865,LAS,SAN,SA,LEISURE,36.08010101,-115.1520004,32.73360062,-117.1900024,1,NV,United States
SGDEHI,8/3/19,4768,SAN,LAS,SA,LEISURE,32.73360062,-117.1900024,36.08010101,-115.1520004,1,CA,United States
WOAINK,7/31/19,712,LAS,SNA,SA,LEISURE,36.08010101,-115.1520004,33.67570114,-117.8679962,1,NV,United States
QJN43M,7/29/19,149,GEG,LAS,SA,LEISURE,47.61989975,-117.5339966,36.08010101,-115.1520004,1,WA,United States
RGTJ73,7/29/19,1257,LAS,DEN,SA,LEISURE,36.08010101,-115.1520004,39.86169815,-104.6729965,1,NV,United States
RMDS6T,7/29/19,887,DEN,LAS,SA,LEISURE,39.86169815,-104.6729965,36.08010101,-115.1520004,1,CO,United States
SLS23S,7/27/19,2830,LAS,GEG,SA,LEISURE,36.08010101,-115.1520004,47.61989975,-117.5339966,1,NV,United States
,7/27/19,3460,SNA,LAS,SA,LEISURE,33.67570114,-117.8679962,36.08010101,-115.1520004,1,CA,United States
J35IFK,7/22/19,1453,OAK,SNA,SA,LEISURE,37.721298,-122.221001,33.67570114,-117.8679962,1,CA,United States
VTZ79S,7/22/19,1453,LAS,OAK,SA,LEISURE,36.08010101,-115.1520004,37.721298,-122.221001,1,NV,United States
USVTM9,7/21/19,2725,SAT,LAS,SA,LEISURE,29.53370094,-98.46980286,36.08010101,-115.1520004,1,TX,United States
UC8GVU,7/18/19,2514,LAS,SAT,SA,LEISURE,36.08010101,-115.1520004,29.53370094,-98.46980286,1,NV,United States
UC9CUP,7/17/19,6604,SNA,LAS,SA,LEISURE,33.67570114,-117.8679962,36.08010101,-115.1520004,1,CA,United States
JHB5PK,7/8/19,1793,LAS,SNA,SA,LEISURE,36.08010101,-115.1520004,33.67570114,-117.8679962,1,NV,United States
W6AZFT,7/3/19,438,SNA,LAS,SA,LEISURE,33.67570114,-117.8679962,36.08010101,-115.1520004,1,CA,United States
P88VOS,6/4/19,169,PHX,SNA,SA,LEISURE,33.43429947,-112.012001,33.67570114,-117.8679962,1,AZ,United States
,6/4/19,1598,HOU,PHX,SA,LEISURE,29.64539909,-95.27890015,33.43429947,-112.012001,1,TX,United States
QCYORS,5/30/19,2263,MSY,HOU,SA,LEISURE,29.99340057,-90.25800323,29.64539909,-95.27890015,1,LA,United States
,5/30/19,474,TPA,MSY,SA,LEISURE,27.97550011,-82.53320313,29.99340057,-90.25800323,1,FL,United States
N7QLH7,5/29/19,142,LAS,SAT,SA,LEISURE,36.08010101,-115.1520004,29.53370094,-98.46980286,1,NV,United States
,5/29/19,142,SAT,TPA,SA,LEISURE,29.53370094,-98.46980286,27.97550011,-82.53320313,1,TX,United States
LXEOGF,5/28/19,1502,SNA,LAS,SA,LEISURE,33.67570114,-117.8679962,36.08010101,-115.1520004,1,CA,United States
PNRUCZ,5/20/19,2187,LAS,SNA,SA,LEISURE,36.08010101,-115.1520004,33.67570114,-117.8679962,1,NV,United States
L6GCMS,5/19/19,4533,SNA,LAS,SA,LEISURE,33.67570114,-117.8679962,36.08010101,-115.1520004,1,CA,United States
JQBIGE,5/18/19,1708,SJC,LAX,SA,LEISURE,37.362598,-121.929001,33.94250107,-118.4079971,1,CA,United States
W8MVUH,5/18/19,3585,PDX,SJC,SA,LEISURE,45.58869934,-122.5979996,37.362598,-121.929001,1,OR,United States
U9IWUT,5/17/19,2202,SJC,PDX,SA,LEISURE,37.362598,-121.929001,45.58869934,-122.5979996,1,CA,United States
,5/17/19,6519,SNA,SJC,SA,LEISURE,33.67570114,-117.8679962,37.362598,-121.929001,1,CA,United States
TXDY4E,5/9/19,2187,LAS,SNA,SA,LEISURE,36.08010101,-115.1520004,33.67570114,-117.8679962,1,NV,United States
,5/9/19,488,TPA,LAS,SA,LEISURE,27.97550011,-82.53320313,36.08010101,-115.1520004,1,FL,United States
VEZZ66,5/4/19,1254,IND,TPA,SA,LEISURE,39.7173,-86.294403,27.97550011,-82.53320313,1,IN,United States
,5/4/19,4072,BOS,IND,SA,LEISURE,42.36429977,-71.00520325,39.7173,-86.294403,1,MA,United States
OQS4M2,5/2/19,795,TPA,BWI,SA,LEISURE,27.97550011,-82.53320313,39.1754,-76.668297,1,FL,United States
,5/2/19,2113,BWI,BOS,SA,LEISURE,39.1754,-76.668297,42.36429977,-71.00520325,1,MD,United States
VU3SBT,4/30/19,2028,BWI,TPA,SA,LEISURE,39.1754,-76.668297,27.97550011,-82.53320313,1,MD,United States
R4BMQ9,4/25/19,1111,SNA,DAL,SA,LEISURE,33.67570114,-117.8679962,32.847099,-96.851799,1,CA,United States
,4/25/19,1010,DAL,DCA,SA,LEISURE,32.847099,-96.851799,38.8521,-77.037697,1,TX,United States
MKG43K,4/17/19,532,LAS,SNA,SA,LEISURE,36.08010101,-115.1520004,33.67570114,-117.8679962,1,NV,United States
K8FMC7,4/16/19,533,SNA,LAS,SA,LEISURE,33.67570114,-117.8679962,36.08010101,-115.1520004,1,CA,United States
RGN7R8,4/10/19,504,SNA,SJC,SA,LEISURE,33.67570114,-117.8679962,37.362598,-121.929001,1,CA,United States
,4/10/19,935,SJC,SNA,SA,LEISURE,37.362598,-121.929001,33.67570114,-117.8679962,1,CA,United States
MP8ZQ9,4/8/19,1941,LAS,SNA,SA,LEISURE,36.08010101,-115.1520004,33.67570114,-117.8679962,1,NV,United States
V3GWGC,4/6/19,4656,SNA,LAS,SA,LEISURE,33.67570114,-117.8679962,36.08010101,-115.1520004,1,CA,United States
K83T6G,3/25/19,1441,SJC,SNA,SA,LEISURE,37.362598,-121.929001,33.67570114,-117.8679962,1,CA,United States
J6UZ2O,3/24/19,3658,LAS,SJC,SA,LEISURE,36.08010101,-115.1520004,37.362598,-121.929001,1,NV,United States
RXHIUH,3/23/19,5399,TPA,LAS,SA,LEISURE,27.97550011,-82.53320313,36.08010101,-115.1520004,1,FL,United States
RDAA2J,3/18/19,1409,DCA,TPA,SA,LEISURE,38.8521,-77.037697,27.97550011,-82.53320313,1,DC,United States
MCPBWD,3/16/19,3803,ATL,BWI,SA,LEISURE,33.6367,-84.428101,39.1754,-76.668297,1,GA,United States
K82GQK,3/15/19,1441,SNA,LAS,SA,LEISURE,33.67570114,-117.8679962,36.08010101,-115.1520004,1,CA,United States
,3/15/19,2517,LAS,ATL,SA,LEISURE,36.08010101,-115.1520004,33.6367,-84.428101,1,NV,United States
TUQ6BC,2/10/19,2410,TPA,DEN,SA,LEISURE,27.97550011,-82.53320313,39.86169815,-104.6729965,1,FL,United States
,2/10/19,5250,DEN,SNA,SA,LEISURE,39.86169815,-104.6729965,33.67570114,-117.8679962,1,CO,United States
RKC2WR,2/4/19,2293,LAS,TPA,SA,LEISURE,36.08010101,-115.1520004,27.97550011,-82.53320313,1,NV,United States
MX9QMP,2/2/19,4195,SNA,LAS,SA,LEISURE,33.67570114,-117.8679962,36.08010101,-115.1520004,1,CA,United States
JKQKCZ,1/27/19,2249,SNA,LAS,SA,LEISURE,33.67570114,-117.8679962,36.08010101,-115.1520004,1,CA,United States
,1/28/19,1883,LAS,SNA,SA,LEISURE,36.08010101,-115.1520004,33.67570114,-117.8679962,1,NV,United States
PVIIP3,1/11/19,924,DEN,SNA,SA,LEISURE,39.86169815,-104.6729965,33.67570114,-117.8679962,1,CO,United States
,1/11/19,1545,RIC,ATL,SA,LEISURE,37.50519943,-77.31970215,33.6367,-84.428101,1,VA,United States
,1/11/19,1440,ATL,DEN,SA,LEISURE,33.6367,-84.428101,39.86169815,-104.6729965,1,GA,United States
URH33S,1/9/19,927,TPA,ATL,SA,LEISURE,27.97550011,-82.53320313,33.6367,-84.428101,1,FL,United States
,1/9/19,733,ATL,RIC,SA,LEISURE,33.6367,-84.428101,37.50519943,-77.31970215,1,GA,United States
