year,state,party,candidate,classification
2008,North Dakota,dem,Obama,Battleground
2008,Ohio,dem,Obama,Battleground
2008,Oklahoma,dem,Obama,Base Republican
2008,Oregon,dem,Obama,Base Democratic
2008,Pennsylvania,dem,Obama,Battleground
2008,Rhode Island,dem,Obama,Base Democratic
2008,South Carolina,dem,Obama,Base Republican
2008,South Dakota,dem,Obama,Base Republican
2008,Tennessee,dem,Obama,Base Republican
2008,Texas,dem,Obama,Base Republican
2008,Utah,dem,Obama,Base Republican
2008,Vermont,dem,Obama,Base Democratic
2008,Virginia,dem,Obama,Battleground
2008,Washington,dem,Obama,Base Democratic
2008,West Virginia,dem,Obama,Base Republican
2008,Wisconsin,dem,Obama,Battleground
2008,Wyoming,dem,Obama,Base Republican
2008,Alabama,rep,McCain,Base Republican
2008,Alaska,rep,McCain,Base Republican
2008,Arizona,rep,McCain,Base Republican
2008,Arkansas,rep,McCain,Base Republican
2008,California,rep,McCain,Base Democratic
2008,Colorado,rep,McCain,Battleground
2008,Connecticut,rep,McCain,Base Democratic
2008,D. C.,rep,McCain,Base Democratic
2008,Delaware,rep,McCain,Base Democratic
2008,Florida,rep,McCain,Battleground
2008,Georgia,rep,McCain,Base Republican
2008,Hawaii,rep,McCain,Base Democratic
2008,Idaho,rep,McCain,Base Republican
2008,Illinois,rep,McCain,Base Democratic
2008,Indiana,rep,McCain,Battleground
2008,Iowa,rep,McCain,Battleground
2008,Kansas,rep,McCain,Base Republican
2008,Kentucky,rep,McCain,Base Republican
2008,Louisiana,rep,McCain,Base Republican
2008,Maine,rep,McCain,Base Democratic
2008,Maryland,rep,McCain,Base Democratic
2008,Massachusetts,rep,McCain,Base Democratic
2008,Michigan,rep,McCain,Battleground
2008,Minnesota,rep,McCain,Base Democratic
2008,Mississippi,rep,McCain,Base Republican
2008,Missouri,rep,McCain,Battleground
2008,Montana,rep,McCain,Battleground
2008,Nebraska,rep,McCain,Base Republican
2008,Nevada,rep,McCain,Battleground
2008,New Hampshire,rep,McCain,Battleground
2008,New Jersey,rep,McCain,Base Democratic
2008,New Mexico,rep,McCain,Battleground
2008,New York,rep,McCain,Base Democratic
2008,North Carolina,rep,McCain,Battleground
2008,North Dakota,rep,McCain,Base Republican
2008,Ohio,rep,McCain,Battleground
2008,Oklahoma,rep,McCain,Base Republican
2008,Oregon,rep,McCain,Base Democratic
2008,Pennsylvania,rep,McCain,Battleground
2008,Rhode Island,rep,McCain,Base Democratic
2008,South Carolina,rep,McCain,Base Republican
2008,South Dakota,rep,McCain,Base Republican
2008,Tennessee,rep,McCain,Base Republican
2008,Texas,rep,McCain,Base Republican
2008,Utah,rep,McCain,Base Republican
2008,Vermont,rep,McCain,Base Democratic
2008,Virginia,rep,McCain,Battleground
2008,Washington,rep,McCain,Base Democratic
2008,West Virginia,rep,McCain,Base Republican
2008,Wisconsin,rep,McCain,Battleground
2008,Wyoming,rep,McCain,Base Republican
2012,Alabama,dem,Obama,Base Republican
2012,Alaska,dem,Obama,Base Republican
2012,Arizona,dem,Obama,Base Republican
2012,Arkansas,dem,Obama,Base Republican
2012,California,dem,Obama,Base Democratic
2012,Colorado,dem,Obama,Battleground
2012,Connecticut,dem,Obama,Base Democratic
2012,D. C.,dem,Obama,Base Democratic
2012,Delaware,dem,Obama,Base Democratic
2012,Florida,dem,Obama,Battleground
2012,Georgia,dem,Obama,Base Republican
2012,Hawaii,dem,Obama,Base Democratic
2012,Idaho,dem,Obama,Base Republican
2012,Illinois,dem,Obama,Base Democratic
2012,Indiana,dem,Obama,Battleground
2012,Iowa,dem,Obama,Battleground
2012,Kansas,dem,Obama,Base Republican
2012,Kentucky,dem,Obama,Base Republican
2012,Louisiana,dem,Obama,Base Republican
2012,Maine,dem,Obama,Base Democratic
2012,Maryland,dem,Obama,Base Democratic
2012,Massachusetts,dem,Obama,Base Democratic
2012,Michigan,dem,Obama,Base Democratic
2012,Minnesota,dem,Obama,Battleground
2012,Mississippi,dem,Obama,Base Republican
2012,Missouri,dem,Obama,Base Republican
2012,Montana,dem,Obama,Base Republican
2012,Nebraska,dem,Obama,Base Republican
2012,Nevada,dem,Obama,Battleground
2012,New Hampshire,dem,Obama,Battleground
2012,New Jersey,dem,Obama,Base Democratic
2012,New Mexico,dem,Obama,Base Democratic
2012,New York,dem,Obama,Base Democratic
2012,North Carolina,dem,Obama,Battleground
2012,North Dakota,dem,Obama,Base Republican
2012,Ohio,dem,Obama,Battleground
2012,Oklahoma,dem,Obama,Base Republican
2012,Oregon,dem,Obama,Base Democratic
2012,Pennsylvania,dem,Obama,Battleground
2012,Rhode Island,dem,Obama,Base Democratic
2012,South Carolina,dem,Obama,Base Republican
2012,South Dakota,dem,Obama,Base Republican
2012,Tennessee,dem,Obama,Base Republican
2012,Texas,dem,Obama,Base Republican
2012,Utah,dem,Obama,Base Republican
2012,Vermont,dem,Obama,Base Democratic
2012,Virginia,dem,Obama,Battleground
2012,Washington,dem,Obama,Base Democratic
2012,West Virginia,dem,Obama,Base Republican
2012,Wisconsin,dem,Obama,Battleground
2012,Wyoming,dem,Obama,Base Republican
2012,Alabama,rep,Romney,Base Republican
2012,Alaska,rep,Romney,Base Republican
2012,Arizona,rep,Romney,Base Republican
2012,Arkansas,rep,Romney,Base Republican
2012,California,rep,Romney,Base Democratic
2012,Colorado,rep,Romney,Battleground
2012,Connecticut,rep,Romney,Base Democratic
2012,D. C.,rep,Romney,Base Democratic
2012,Delaware,rep,Romney,Base Democratic
2012,Florida,rep,Romney,Battleground
2012,Georgia,rep,Romney,Base Republican
2012,Hawaii,rep,Romney,Base Democratic
2012,Idaho,rep,Romney,Base Republican
2012,Illinois,rep,Romney,Base Democratic
2012,Indiana,rep,Romney,Battleground
2012,Iowa,rep,Romney,Battleground
2012,Kansas,rep,Romney,Base Republican
2012,Kentucky,rep,Romney,Base Republican
2012,Louisiana,rep,Romney,Base Republican
2012,Maine,rep,Romney,Base Democratic
2012,Maryland,rep,Romney,Base Democratic
2012,Massachusetts,rep,Romney,Base Democratic
2012,Michigan,rep,Romney,Battleground
2012,Minnesota,rep,Romney,Battleground
2012,Mississippi,rep,Romney,Base Republican
2012,Missouri,rep,Romney,Base Republican
2012,Montana,rep,Romney,Base Republican
2012,Nebraska,rep,Romney,Base Republican
2012,Nevada,rep,Romney,Battleground
2012,New Hampshire,rep,Romney,Battleground
2012,New Jersey,rep,Romney,Base Democratic
2012,New Mexico,rep,Romney,Base Democratic
2012,New York,rep,Romney,Base Democratic
2012,North Carolina,rep,Romney,Battleground
2012,North Dakota,rep,Romney,Base Republican
2012,Ohio,rep,Romney,Battleground
2012,Oklahoma,rep,Romney,Base Republican
2012,Oregon,rep,Romney,Base Democratic
2012,Pennsylvania,rep,Romney,Battleground
2012,Rhode Island,rep,Romney,Base Democratic
2012,South Carolina,rep,Romney,Base Republican
2012,South Dakota,rep,Romney,Base Republican
2012,Tennessee,rep,Romney,Base Republican
2012,Texas,rep,Romney,Base Republican
2012,Utah,rep,Romney,Base Republican
2012,Vermont,rep,Romney,Base Democratic
2012,Virginia,rep,Romney,Battleground
2012,Washington,rep,Romney,Base Democratic
2012,West Virginia,rep,Romney,Base Republican
2012,Wisconsin,rep,Romney,Battleground
2012,Wyoming,rep,Romney,Base Republican
2016,Alabama,dem,Clinton,Base Republican
2016,Alaska,dem,Clinton,Base Republican
2016,Arizona,dem,Clinton,Base Republican
2016,Arkansas,dem,Clinton,Base Republican
2016,California,dem,Clinton,Base Democratic
2016,Colorado,dem,Clinton,Base Democratic
2016,Connecticut,dem,Clinton,Base Democratic
2016,D. C.,dem,Clinton,Base Democratic
2016,Delaware,dem,Clinton,Base Democratic
2016,Florida,dem,Clinton,Battleground
2016,Georgia,dem,Clinton,Base Republican
2016,Hawaii,dem,Clinton,Base Democratic
2016,Idaho,dem,Clinton,Base Republican
2016,Illinois,dem,Clinton,Base Democratic
2016,Indiana,dem,Clinton,Base Republican
2016,Iowa,dem,Clinton,Base Republican
2016,Kansas,dem,Clinton,Base Republican
2016,Kentucky,dem,Clinton,Base Republican
2016,Louisiana,dem,Clinton,Base Republican
2016,Maine,dem,Clinton,Base Democratic
2016,Maryland,dem,Clinton,Base Democratic
2016,Massachusetts,dem,Clinton,Base Democratic
2016,Michigan,dem,Clinton,Base Democratic
2016,Minnesota,dem,Clinton,Base Democratic
2016,Mississippi,dem,Clinton,Base Republican
2016,Missouri,dem,Clinton,Base Republican
2016,Montana,dem,Clinton,Base Republican
2016,Nebraska,dem,Clinton,Base Republican
2016,Nevada,dem,Clinton,Battleground
2016,New Hampshire,dem,Clinton,Battleground
2016,New Jersey,dem,Clinton,Base Democratic
2016,New Mexico,dem,Clinton,Base Democratic
2016,New York,dem,Clinton,Base Democratic
2016,North Carolina,dem,Clinton,Battleground
2016,North Dakota,dem,Clinton,Base Republican
2016,Ohio,dem,Clinton,Battleground
2016,Oklahoma,dem,Clinton,Base Republican
2016,Oregon,dem,Clinton,Base Democratic
2016,Pennsylvania,dem,Clinton,Battleground
2016,Rhode Island,dem,Clinton,Base Democratic
2016,South Carolina,dem,Clinton,Base Republican
2016,South Dakota,dem,Clinton,Base Republican
2016,Tennessee,dem,Clinton,Base Republican
2016,Texas,dem,Clinton,Base Republican
2016,Utah,dem,Clinton,Base Republican
2016,Vermont,dem,Clinton,Base Democratic
2016,Virginia,dem,Clinton,Base Democratic
2016,Washington,dem,Clinton,Base Democratic
2016,West Virginia,dem,Clinton,Base Republican
2016,Wisconsin,dem,Clinton,Base Democratic
2016,Wyoming,dem,Clinton,Base Republican
2016,Alabama,rep,Trump,Base Republican
2016,Alaska,rep,Trump,Base Republican
2016,Arizona,rep,Trump,Base Republican
2016,Arkansas,rep,Trump,Base Republican
2016,California,rep,Trump,Base Democratic
2016,Colorado,rep,Trump,Battleground
2016,Connecticut,rep,Trump,Base Democratic
2016,D. C.,rep,Trump,Base Democratic
2016,Delaware,rep,Trump,Base Democratic
2016,Florida,rep,Trump,Battleground
2016,Georgia,rep,Trump,Base Republican
2016,Hawaii,rep,Trump,Base Democratic
2016,Idaho,rep,Trump,Base Republican
2016,Illinois,rep,Trump,Base Democratic
2016,Indiana,rep,Trump,Base Republican
2016,Iowa,rep,Trump,Battleground
2016,Kansas,rep,Trump,Base Republican
2016,Kentucky,rep,Trump,Base Republican
2016,Louisiana,rep,Trump,Base Republican
2016,Maine,rep,Trump,Battleground
2016,Maryland,rep,Trump,Base Democratic
2016,Massachusetts,rep,Trump,Base Democratic
2016,Michigan,rep,Trump,Battleground
2016,Minnesota,rep,Trump,Base Democratic
2016,Mississippi,rep,Trump,Base Republican
2016,Missouri,rep,Trump,Base Republican
2016,Montana,rep,Trump,Base Republican
2016,Nebraska,rep,Trump,Base Republican
2016,Nevada,rep,Trump,Battleground
2016,New Hampshire,rep,Trump,Battleground
2016,New Jersey,rep,Trump,Base Democratic
2016,New Mexico,rep,Trump,Base Democratic
2016,New York,rep,Trump,Base Democratic
2016,North Carolina,rep,Trump,Battleground
2016,North Dakota,rep,Trump,Base Republican
2016,Ohio,rep,Trump,Battleground
2016,Oklahoma,rep,Trump,Base Republican
2016,Oregon,rep,Trump,Base Democratic
2016,Pennsylvania,rep,Trump,Battleground
2016,Rhode Island,rep,Trump,Base Democratic
2016,South Carolina,rep,Trump,Base Republican
2016,South Dakota,rep,Trump,Base Republican
2016,Tennessee,rep,Trump,Base Republican
2016,Texas,rep,Trump,Base Republican
2016,Utah,rep,Trump,Base Republican
2016,Vermont,rep,Trump,Base Democratic
2016,Virginia,rep,Trump,Battleground
2016,Washington,rep,Trump,Base Democratic
2016,West Virginia,rep,Trump,Base Republican
2016,Wisconsin,rep,Trump,Battleground
2016,Wyoming,rep,Trump,Base Republican
