year,wins,ties,vulnerable,totalcoalitions,winningness,vulnerability,fragility,year,wins,ties,vulnerable,totalcoalitions,winningness,vulnerability,fragility
1868,1918,0,1447,2048,0.936523438,0.2455683,0.357142857,1868,130,0,0,2048,0.063476563,1,5.276923077
1872,130672,62,128151,131072,0.997184753,0.01929258,0.03596616,1872,338,62,0,131072,0.002815247,1,11.7575
1876,24731,1145,2370,131072,0.193050385,0.904168857,4.925065698,1876,105196,1145,59686,131072,0.806949615,0.432621012,1.198418296
1880,78513,0,12418,262144,0.299503326,0.84183511,3.75756881,1880,183631,0,83054,262144,0.700496674,0.547712532,1.606580588
1884,585777,0,118622,2097152,0.27932024,0.797496317,4.648634207,1884,1511375,0,802472,2097152,0.72067976,0.469045075,1.801712348
1888,355309,0,88038,1048576,0.338849068,0.752221306,4.200231348,1888,693267,0,335122,1048576,0.661150932,0.516604714,2.152677107
1892,74533,3330,8185,524288,0.145336151,0.890182872,5.923172752,1892,446425,3330,297245,524288,0.854663849,0.334165873,1.025438294
1896,16287,0,15720,16384,0.99407959,0.034813041,0.056302573,1896,97,0,0,16384,0.00592041,1,9.463917526
1900,26803,0,15873,32768,0.817962646,0.407790173,1.030444353,1900,5965,0,433,32768,0.182037354,0.927409891,4.630176027
1904,8,0,8,8,1,0,0,1904,0,0,0,8,0,NA,NA
1908,8192,0,8192,8192,1,0,0,1908,0,0,0,8192,0,NA,NA
1912,0,0,0,512,0,NA,NA,1912,512,0,512,512,1,0,0
1916,1545445,0,50475,16777216,0.0921157,0.967339504,7.070289787,1916,15231771,0,11473146,16777216,0.9078843,0.246762179,0.717365302
1920,8,0,8,8,1,0,0,1920,0,0,0,8,0,NA,NA
1924,256,0,256,256,1,0,0,1924,0,0,0,256,0,NA,NA
1928,2048,0,2048,2048,1,0,0,1928,0,0,0,2048,0,NA,NA
1932,0,0,0,512,0,NA,NA,1932,512,0,512,512,1,0,0
1936,0,0,0,8,0,NA,NA,1936,8,0,8,8,1,0,0
1940,18406,0,8,2097152,0.008776665,0.999565359,10.06628273,1940,2078746,0,1979213,2097152,0.991223335,0.047881271,0.089130659
1944,3392630,0,31041,134217728,0.025277063,0.990850461,9.539660971,1944,130825098,0,117501461,134217728,0.974722937,0.101843126,0.247387852
1948,428230,0,860,33554432,0.012762249,0.997991733,10.07751909,1948,33126202,0,30982568,33554432,0.987237751,0.064711131,0.130274397
1952,32768,0,32768,32768,1,0,0,1952,0,0,0,32768,0,NA,NA
1956,256,0,256,256,1,0,0,1956,0,0,0,256,0,NA,NA
1960,,,,,,,,1960,,,,,,,
1964,0,0,0,256,0,NA,NA,1964,256,0,256,256,1,0,0
1968,52266022,433659,31255347,67108864,0.78205543,0.401994914,1.581224429,1968,14409183,433659,2602831,67108864,0.21794457,0.819363041,5.614155497
1972,32,0,32,32,1,0,0,1972,0,0,0,32,0,NA,NA
1976,,,,,,,,1976,,,,,,,
1980,4194209,21,4192982,4194304,0.999979854,0.000292546,0.000416763,1980,74,21,0,4194304,2.01E-05,1,18.44210526
1984,256,0,256,256,1,0,0,1984,0,0,0,256,0,NA,NA
1988,1048533,12,1047978,1048576,0.999964714,0.000529311,0.000695249,1988,31,12,0,1048576,3.53E-05,1,17.09302326
1992,22749,3833,10,67108864,0.000367545,0.99956042,17.01350538,1992,67082282,3833,66873286,67108864,0.999632455,0.003115517,0.00674138
1996,0,0,0,4194304,0,NA,NA,1996,4194304,0,4194304,4194304,1,0,0
2000,681994,26618,192328,2097152,0.331546307,0.717991654,4.639327305,2000,1388540,26618,711226,2097152,0.668453693,0.487788612,2.323050147
2004,773747,12052,435765,1048576,0.743649483,0.436812033,1.785851089,2004,262777,12052,52804,1048576,0.256350517,0.799053951,5.106156919
2008,22,6,0,32768,0.000762939,1,11.92857143,2008,32740,6,32480,32768,0.999237061,0.007941356,0.010047029
2012,8276,375,1464,32768,0.258285522,0.823102948,4.593572997,2012,24117,375,13402,32768,0.741714478,0.444292408,1.622529806
2016,15082,605,1749,65536,0.23474884,0.884033948,4.624338624,2016,49849,605,26545,65536,0.76525116,0.467491825,1.437784913
