"year","wins","ties","vulnerable","totalcoalitions","winningness","vulnerability","fragility","year","wins","ties","vulnerable","totalcoalitions","winningness","vulnerability","fragility"
1868,256,0,256,256,1,0,0,1868,0,0,0,256,0,NA,NA
1872,256,0,256,256,1,0,0,1872,0,0,0,256,0,NA,NA
1876,6129,290,508,32768,0.19146728515625,0.917115353238701,4.55351300825674,1876,26349,290,14610,32768,0.80853271484375,0.445519754070363,1.09722587184204
1880,2527,0,301,8192,0.3084716796875,0.880886426592798,3.06094182825485,1880,5665,0,2201,8192,0.6915283203125,0.611473962930274,1.36540158870256
1884,5165,0,711,16384,0.31524658203125,0.862342691190707,3.51907066795741,1884,11219,0,4839,16384,0.68475341796875,0.568678135306177,1.62010874409484
1888,9428,0,3144,16384,0.575439453125,0.666525243954179,2.14361476453118,1888,6956,0,1496,16384,0.424560546875,0.784933870040253,2.90540540540541
1892,8664,357,906,32768,0.269851684570312,0.895429362880886,4.00509921294757,1892,23747,357,11061,32768,0.730148315429688,0.53421484819135,1.49892134085629
1896,4010,0,3631,4096,0.97900390625,0.0945137157107232,0.158852867830424,1896,86,0,0,4096,0.02099609375,1,7.41860465116279
1900,128,0,128,128,1,0,0,1900,0,0,0,128,0,NA,NA
1904,8,0,8,8,1,0,0,1904,0,0,0,8,0,NA,NA
1908,512,0,512,512,1,0,0,1908,0,0,0,512,0,NA,NA
1912,0,0,0,128,0,NA,NA,1912,128,0,128,128,1,0,0
1916,20754,0,3646,131072,0.158340454101562,0.824323022068035,5.46362147055989,1916,110318,0,75090,131072,0.841659545898438,0.319331387443572,1.02786489965373
1920,8,0,8,8,1,0,0,1920,0,0,0,8,0,NA,NA
1924,8,0,8,8,1,0,0,1924,0,0,0,8,0,NA,NA
1928,32,0,32,32,1,0,0,1928,0,0,0,32,0,NA,NA
1932,0,0,0,128,0,NA,NA,1932,128,0,128,128,1,0,0
1936,0,0,0,5,0,NA,NA,1936,5,0,5,5,1,0,0
1940,0,0,0,8192,0,NA,NA,1940,8192,0,8192,8192,1,0,0
1944,4885,0,2,524288,0.00931739807128906,0.999590583418628,9.84994882292733,1944,519403,0,493494,524288,0.990682601928711,0.049882268681544,0.0926390490620961
1948,12995,0,4,1048576,0.0123929977416992,0.999692189303578,9.14551750673336,1948,1035581,0,966685,1048576,0.987607002258301,0.0665288374352175,0.114762630832355
1952,512,0,512,512,1,0,0,1952,0,0,0,512,0,NA,NA
1956,8,0,8,8,1,0,0,1956,0,0,0,8,0,NA,NA
1960,5864916,0,2953370,8388608,0.69915246963501,0.496434390535176,1.86120551428186,1960,2523692,0,507916,8388608,0.30084753036499,0.79874089231174,4.32533526278168
1964,0,0,0,16,0,NA,NA,1964,16,0,16,16,1,0,0
1968,26887,198,16583,32768,0.82354736328125,0.383233532934132,1.0526121469448,1968,5683,198,714,32768,0.17645263671875,0.874362132676403,4.84781499744941
1972,11,0,11,11,1,0,0,1972,0,0,0,11,0,NA,NA
1976,10138923,250388,2283158,33554432,0.305894523859024,0.774812571315514,4.71387371116344,1976,23165121,250388,11731465,33554432,0.694105476140976,0.493572038756025,2.09151549940657
1980,131072,0,131072,131072,1,0,0,1980,0,0,0,131072,0,NA,NA
1984,16,0,16,16,1,0,0,1984,0,0,0,16,0,NA,NA
1988,16384,0,16384,16384,1,0,0,1988,0,0,0,16384,0,NA,NA
1992,5,1,0,131072,0.000041961669921875,1,15.3333333333333,1992,131066,1,130994,131072,0.999958038330078,0.000549341553110647,0.00060274516087192
1996,0,0,0,4096,0,NA,NA,1996,4096,0,4096,4096,1,0,0
2000,40863,926,18413,65536,0.630584716796875,0.549396764799452,2.19847328244275,2000,23747,926,6475,65536,0.369415283203125,0.72733397902893,3.72358448506465
2004,2944,53,1412,4096,0.7252197265625,0.520380434782609,1.45045045045045,2004,1099,53,160,4096,0.2747802734375,0.854413102820746,3.7734375
2008,0,0,0,128,0,NA,NA,2008,128,0,128,128,1,0,0
2012,49,0,3,256,0.19140625,0.938775510204082,3.59183673469388,2012,207,0,114,256,0.80859375,0.449275362318841,0.85024154589372
2016,4096,113,1255,8192,0.50689697265625,0.693603515625,2.63791874554526,2016,3983,113,1182,8192,0.49310302734375,0.703238764750188,2.710693359375
